productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
Flame Grapes,2008/6/22,$0.81 ,$1.73 ,$1.74 ,$1.67 ,$1.99 ,120.06%
Cauliflower,2008/6/15,$0.41 ,$1.17 ,$1.37 ,$1.55 ,$1.25 ,225.61%
Red Leaf Lettuce,2008/6/15,$0.22 ,$1.29 ,$1.71 ,$1.25 ,$1.99 ,609.09%
Celery,2008/6/15,$0.60 ,$1.86 ,$1.84 ,$1.77 ,$2.59 ,235.83%
Romaine Lettuce,2008/6/15,$0.19 ,$1.34 ,$1.71 ,$1.26 ,$1.32 ,640.79%
Flame Grapes,2008/6/15,$0.80 ,$1.81 ,$1.74 ,$1.99 ,$2.12 ,139.38%
Strawberries,2008/6/15,$0.99 ,$2.44 ,$2.83 ,$3.24 ,$2.99 ,190.40%
Green Leaf Lettuce,2008/6/15,$0.23 ,$1.30 ,$1.71 ,$1.25 ,$2.16 ,597.83%
Honeydews,2008/6/15,$0.22 ,$1.01 ,$0.98 ,$0.88 ,$1.04 ,344.32%
Iceberg Lettuce,2008/6/15,$0.30 ,$1.19 ,$1.26 ,$1.30 ,$1.72 ,355.83%
Avocados,2008/6/15,$0.73 ,$1.46 ,$1.91 ,$2.56 ,$1.87 ,167.12%
Nectarines,2008/6/15,$0.37 ,$2.37 ,$1.99 ,$2.24 ,$1.59 ,453.38%
Broccoli Bunches,2008/6/15,$0.38 ,$1.87 ,$1.50 ,$1.40 ,$1.96 ,342.76%
Oranges,2008/6/15,$0.14 ,$0.45 ,$0.51 ,$0.56 ,$0.48 ,257.14%
Broccoli Crowns,2008/6/15,$0.45 ,$1.84 ,$1.89 ,$1.58 ,$1.32 ,268.33%
Peaches,2008/6/15,$0.44 ,$1.99 ,$1.99 ,$2.49 ,$2.32 ,399.43%
Cantaloupe,2008/6/15,$0.15 ,$1.02 ,$0.94 ,$0.76 ,$0.94 ,510.00%
Plums,2008/6/15,$0.70 ,$2.46 ,$2.57 ,$2.99 ,$2.24 ,266.43%
Carrots,2008/6/15,$0.26 ,$0.88 ,$0.90 ,$0.79 ,$1.04 ,247.12%
Potatoes,2008/6/15,$1.81 ,$5.36 ,$4.57 ,$4.17 ,$0.00 ,94.75%
Cantaloupe,2008/6/8,$0.16 ,$1.20 ,$1.36 ,$0.65 ,$1.17 ,584.38%
Plums,2008/6/8,$0.90 ,$2.47 ,$2.74 ,$2.99 ,$2.82 ,206.11%
Carrots,2008/6/8,$0.26 ,$0.89 ,$0.88 ,$0.79 ,$1.07 ,249.04%
Potatoes,2008/6/8,$1.78 ,$4.48 ,$4.44 ,$4.12 ,$5.99 ,167.28%
Cauliflower,2008/6/8,$0.55 ,$1.17 ,$1.25 ,$1.72 ,$1.62 ,161.82%
Red Leaf Lettuce,2008/6/8,$0.20 ,$1.26 ,$1.71 ,$1.27 ,$1.82 ,657.50%
Celery,2008/6/8,$0.87 ,$2.73 ,$1.82 ,$1.77 ,$2.79 ,161.78%
Romaine Lettuce,2008/6/8,$0.16 ,$1.49 ,$1.76 ,$1.28 ,$1.32 ,814.06%
Flame Grapes,2008/6/8,$0.78 ,$1.74 ,$2.12 ,$2.37 ,$2.62 ,183.65%
Strawberries,2008/6/8,$0.95 ,$2.50 ,$2.49 ,$3.16 ,$2.79 ,187.89%
Green Leaf Lettuce,2008/6/8,$0.21 ,$1.49 ,$1.71 ,$1.27 ,$1.82 ,648.81%
Honeydews,2008/6/8,$0.20 ,$1.11 ,$1.01 ,$1.04 ,$1.08 ,430.00%
Asparagus,2008/6/8,$1.26 ,$3.76 ,$3.27 ,$3.74 ,$3.24 ,177.98%
Iceberg Lettuce,2008/6/8,$0.34 ,$1.39 ,$1.38 ,$1.47 ,$1.36 ,311.76%
Avocados,2008/6/8,$0.76 ,$1.28 ,$1.69 ,$1.48 ,$1.75 ,103.95%
Nectarines,2008/6/8,$0.46 ,$2.61 ,$2.44 ,$1.87 ,$2.12 ,391.30%
Broccoli Bunches,2008/6/8,$0.31 ,$1.81 ,$1.38 ,$1.69 ,$1.84 ,441.94%
Oranges,2008/6/8,$0.14 ,$0.42 ,$0.51 ,$0.50 ,$0.38 ,223.21%
Broccoli Crowns,2008/6/8,$0.37 ,$1.61 ,$1.56 ,$1.73 ,$2.44 ,395.95%
Peaches,2008/6/8,$0.50 ,$0.00 ,$2.19 ,$2.19 ,$1.99 ,218.50%
Red Leaf Lettuce,2008/6/1,$0.21 ,$1.33 ,$1.76 ,$1.25 ,$2.17 ,675.00%
Romaine Lettuce,2008/6/1,$0.16 ,$1.53 ,$1.76 ,$1.26 ,$1.57 ,856.25%
Strawberries,2008/6/1,$1.07 ,$2.59 ,$3.24 ,$2.99 ,$3.12 ,178.97%
Nectarines,2008/6/1,$0.59 ,$2.82 ,$2.16 ,$2.74 ,$1.99 ,311.44%
Broccoli Bunches,2008/6/1,$0.28 ,$1.62 ,$1.46 ,$1.49 ,$1.84 ,472.32%
Oranges,2008/6/1,$0.13 ,$0.43 ,$0.46 ,$0.51 ,$0.40 ,246.15%
Broccoli Crowns,2008/6/1,$0.28 ,$1.52 ,$1.89 ,$1.58 ,$1.99 ,523.21%
Peaches,2008/6/1,$0.54 ,$2.35 ,$2.16 ,$1.62 ,$1.61 ,258.33%
Cantaloupe,2008/6/1,$0.16 ,$0.85 ,$0.98 ,$0.79 ,$1.08 ,478.13%
Potatoes,2008/6/1,$1.53 ,$4.34 ,$4.24 ,$3.99 ,$0.00 ,105.39%
Carrots,2008/6/1,$0.26 ,$0.89 ,$0.88 ,$0.79 ,$1.07 ,249.04%
Cauliflower,2008/6/1,$0.41 ,$0.96 ,$1.40 ,$1.57 ,$1.40 ,225.00%
Celery,2008/6/1,$1.00 ,$2.29 ,$2.04 ,$1.77 ,$2.79 ,122.25%
Flame Grapes,2008/6/1,$0.79 ,$1.69 ,$1.89 ,$2.24 ,$2.12 ,151.27%
Green Leaf Lettuce,2008/6/1,$0.21 ,$1.34 ,$1.76 ,$1.25 ,$2.07 ,664.29%
Honeydews,2008/6/1,$0.19 ,$0.81 ,$0.95 ,$1.04 ,$1.08 ,410.53%
Asparagus,2008/6/1,$1.17 ,$3.74 ,$3.37 ,$3.66 ,$3.24 ,199.36%
Iceberg Lettuce,2008/6/1,$0.33 ,$1.35 ,$1.51 ,$1.62 ,$1.72 ,369.70%
Avocados,2008/6/1,$0.78 ,$1.42 ,$1.74 ,$1.87 ,$2.00 ,125.32%
Honeydews,2008/5/25,$0.20 ,$1.11 ,$0.93 ,$0.85 ,$0.90 ,373.75%
Asparagus,2008/5/25,$1.25 ,$3.64 ,$3.01 ,$3.49 ,$3.49 ,172.60%
Iceberg Lettuce,2008/5/25,$0.25 ,$1.29 ,$1.49 ,$1.62 ,$1.59 ,499.00%
Avocados,2008/5/25,$0.80 ,$1.19 ,$1.84 ,$1.62 ,$1.87 ,103.75%
Nectarines,2008/5/25,$0.70 ,$2.48 ,$2.12 ,$2.99 ,$2.74 ,268.93%
Broccoli Bunches,2008/5/25,$0.26 ,$2.02 ,$1.29 ,$1.67 ,$1.75 ,547.12%
Oranges,2008/5/25,$0.13 ,$0.43 ,$0.49 ,$0.35 ,$0.28 ,198.08%
Broccoli Crowns,2008/5/25,$0.28 ,$1.69 ,$1.39 ,$1.57 ,$1.99 ,492.86%
Peaches,2008/5/25,$0.68 ,$2.00 ,$2.16 ,$2.74 ,$2.24 ,236.03%
Cantaloupe,2008/5/25,$0.18 ,$1.13 ,$1.04 ,$0.94 ,$1.08 ,481.94%
Potatoes,2008/5/25,$1.50 ,$5.06 ,$4.12 ,$3.86 ,$3.99 ,183.83%
Carrots,2008/5/25,$0.26 ,$0.89 ,$0.91 ,$0.76 ,$1.17 ,258.65%
Red Leaf Lettuce,2008/5/25,$0.20 ,$1.33 ,$1.51 ,$1.06 ,$1.92 ,627.50%
Cauliflower,2008/5/25,$0.24 ,$1.22 ,$1.27 ,$1.49 ,$1.27 ,446.88%
Romaine Lettuce,2008/5/25,$0.16 ,$1.34 ,$1.51 ,$1.11 ,$1.49 ,751.56%
Celery,2008/5/25,$0.99 ,$1.89 ,$1.97 ,$1.69 ,$2.37 ,100.00%
Strawberries,2008/5/25,$1.17 ,$2.62 ,$3.49 ,$2.49 ,$2.49 ,136.97%
Flame Grapes,2008/5/25,$0.83 ,$2.11 ,$2.07 ,$1.84 ,$2.87 ,167.77%
Green Leaf Lettuce,2008/5/25,$0.20 ,$1.34 ,$1.51 ,$1.06 ,$1.92 ,628.75%
Strawberries,2008/5/18,$1.22 ,$2.79 ,$2.62 ,$3.24 ,$2.74 ,133.40%
Flame Grapes,2008/5/18,$1.03 ,$2.26 ,$2.57 ,$2.99 ,$2.74 ,156.31%
Green Leaf Lettuce,2008/5/18,$0.20 ,$1.53 ,$1.73 ,$1.18 ,$2.49 ,766.25%
Honeydews,2008/5/18,$0.20 ,$1.04 ,$0.90 ,$1.22 ,$1.08 ,430.00%
Asparagus,2008/5/18,$1.21 ,$3.76 ,$2.99 ,$3.74 ,$3.49 ,188.84%
Iceberg Lettuce,2008/5/18,$0.23 ,$1.28 ,$1.27 ,$1.64 ,$1.59 ,528.26%
Avocados,2008/5/18,$0.79 ,$1.42 ,$1.84 ,$1.89 ,$1.56 ,112.34%
Nectarines,2008/5/18,$0.82 ,$2.74 ,$2.75 ,$2.50 ,$2.99 ,234.76%
Broccoli Bunches,2008/5/18,$0.26 ,$1.55 ,$1.42 ,$1.64 ,$1.84 ,520.19%
Oranges,2008/5/18,$0.11 ,$0.39 ,$0.41 ,$0.43 ,$0.29 ,245.45%
Broccoli Crowns,2008/5/18,$0.27 ,$1.99 ,$1.76 ,$1.64 ,$2.16 ,599.07%
Peaches,2008/5/18,$0.71 ,$2.74 ,$2.49 ,$2.68 ,$3.12 ,288.38%
Cantaloupe,2008/5/18,$0.26 ,$1.22 ,$1.27 ,$1.12 ,$0.98 ,341.35%
Potatoes,2008/5/18,$1.25 ,$4.85 ,$4.12 ,$3.87 ,$3.99 ,236.60%
Carrots,2008/5/18,$0.26 ,$1.09 ,$0.93 ,$0.76 ,$1.04 ,267.31%
Red Leaf Lettuce,2008/5/18,$0.20 ,$1.33 ,$1.73 ,$1.23 ,$2.49 ,747.50%
Cauliflower,2008/5/18,$0.21 ,$1.12 ,$1.52 ,$1.67 ,$1.50 ,591.67%
Romaine Lettuce,2008/5/18,$0.16 ,$1.52 ,$1.73 ,$1.26 ,$1.59 ,853.13%
Celery,2008/5/18,$1.19 ,$1.84 ,$1.74 ,$1.57 ,$2.17 ,53.78%
Broccoli Bunches,2008/5/11,$0.28 ,$1.62 ,$1.56 ,$1.77 ,$2.03 ,523.21%
Red Leaf Lettuce,2008/5/11,$0.21 ,$1.34 ,$1.62 ,$1.23 ,$1.79 ,611.90%
Broccoli Crowns,2008/5/11,$0.31 ,$2.09 ,$1.58 ,$1.73 ,$2.49 ,536.29%
Romaine Lettuce,2008/5/11,$0.16 ,$1.34 ,$1.81 ,$1.24 ,$1.12 ,760.94%
Cantaloupe,2008/5/11,$0.33 ,$1.08 ,$1.21 ,$1.15 ,$1.22 ,253.03%
Strawberries,2008/5/11,$1.21 ,$2.12 ,$2.31 ,$2.87 ,$2.62 ,104.96%
Carrots,2008/5/11,$0.26 ,$0.90 ,$0.91 ,$0.76 ,$1.07 ,250.00%
Cauliflower,2008/5/11,$0.28 ,$1.12 ,$1.42 ,$1.64 ,$1.90 ,442.86%
Celery,2008/5/11,$1.18 ,$1.53 ,$1.54 ,$1.51 ,$1.87 ,36.65%
Green Leaf Lettuce,2008/5/11,$0.20 ,$1.33 ,$1.62 ,$1.23 ,$2.17 ,693.75%
Iceberg Lettuce,2008/5/11,$0.28 ,$1.28 ,$1.36 ,$1.67 ,$1.37 ,407.14%
Oranges,2008/5/11,$0.10 ,$0.41 ,$0.52 ,$0.41 ,$0.26 ,300.00%
Asparagus,2008/5/11,$1.35 ,$3.61 ,$3.11 ,$3.66 ,$3.74 ,161.48%
Peaches,2008/5/11,$0.79 ,$2.95 ,$2.49 ,$2.99 ,$2.49 ,245.57%
Avocados,2008/5/11,$0.79 ,$1.37 ,$1.59 ,$1.62 ,$1.63 ,96.52%
Potatoes,2008/5/11,$0.70 ,$4.48 ,$3.86 ,$3.49 ,$2.99 ,429.29%
Celery,2008/5/4,$0.78 ,$1.41 ,$1.62 ,$1.42 ,$1.99 ,106.41%
Green Leaf Lettuce,2008/5/4,$0.22 ,$1.33 ,$1.61 ,$1.23 ,$2.24 ,628.41%
Iceberg Lettuce,2008/5/4,$0.32 ,$1.26 ,$1.44 ,$1.44 ,$1.59 ,347.66%
Oranges,2008/5/4,$0.09 ,$0.35 ,$0.50 ,$0.44 ,$0.29 ,338.89%
Potatoes,2008/5/4,$1.06 ,$4.28 ,$3.74 ,$3.69 ,$0.00 ,176.18%
Asparagus,2008/5/4,$1.74 ,$3.66 ,$4.16 ,$4.24 ,$4.24 ,134.20%
Red Leaf Lettuce,2008/5/4,$0.23 ,$1.34 ,$1.42 ,$1.23 ,$2.24 ,577.17%
Avocados,2008/5/4,$0.78 ,$0.92 ,$1.45 ,$1.87 ,$1.45 ,82.37%
Romaine Lettuce,2008/5/4,$0.16 ,$1.53 ,$1.61 ,$1.26 ,$1.62 ,840.63%
Broccoli Bunches,2008/5/4,$0.30 ,$1.80 ,$1.46 ,$1.60 ,$1.84 ,458.33%
Strawberries,2008/5/4,$1.16 ,$2.62 ,$2.68 ,$2.06 ,$2.74 ,117.67%
Broccoli Crowns,2008/5/4,$0.35 ,$2.25 ,$1.52 ,$1.72 ,$1.99 ,434.29%
Carrots,2008/5/4,$0.26 ,$0.87 ,$1.31 ,$0.69 ,$1.07 ,278.85%
Cauliflower,2008/5/4,$0.44 ,$1.29 ,$1.52 ,$1.68 ,$1.65 ,248.86%
Oranges,2008/4/27,$0.09 ,$0.35 ,$0.53 ,$0.43 ,$0.37 ,366.67%
Potatoes,2008/4/27,$1.20 ,$4.59 ,$3.99 ,$3.87 ,$3.99 ,242.50%
Asparagus,2008/4/27,$1.93 ,$3.46 ,$3.62 ,$3.24 ,$2.99 ,72.41%
Red Leaf Lettuce,2008/4/27,$0.25 ,$1.33 ,$1.73 ,$1.17 ,$2.22 ,545.00%
Avocados,2008/4/27,$0.76 ,$1.06 ,$1.29 ,$1.14 ,$1.62 ,68.09%
Romaine Lettuce,2008/4/27,$0.18 ,$1.33 ,$1.73 ,$1.05 ,$1.59 ,691.67%
Broccoli Bunches,2008/4/27,$0.48 ,$1.62 ,$1.46 ,$1.72 ,$1.75 ,241.15%
Strawberries,2008/4/27,$1.18 ,$2.74 ,$2.99 ,$2.50 ,$2.74 ,132.42%
Broccoli Crowns,2008/4/27,$0.53 ,$1.94 ,$1.64 ,$1.73 ,$1.99 ,244.34%
Carrots,2008/4/27,$0.26 ,$0.90 ,$0.93 ,$0.72 ,$1.17 ,257.69%
Cauliflower,2008/4/27,$0.51 ,$1.13 ,$1.57 ,$1.67 ,$1.38 ,181.86%
Celery,2008/4/27,$0.67 ,$1.36 ,$1.62 ,$1.42 ,$1.82 ,132.09%
Green Leaf Lettuce,2008/4/27,$0.24 ,$1.33 ,$1.73 ,$1.17 ,$2.22 ,571.88%
Iceberg Lettuce,2008/4/27,$0.41 ,$1.24 ,$1.32 ,$1.44 ,$1.57 ,239.63%
Romaine Lettuce,2008/4/20,$0.19 ,$1.33 ,$1.73 ,$1.21 ,$1.62 ,675.00%
Strawberries,2008/4/20,$1.15 ,$2.74 ,$2.99 ,$2.87 ,$2.74 ,146.52%
Broccoli Bunches,2008/4/20,$0.71 ,$1.62 ,$1.33 ,$1.62 ,$1.93 ,128.87%
Broccoli Crowns,2008/4/20,$0.80 ,$1.94 ,$1.89 ,$1.77 ,$1.99 ,137.19%
Carrots,2008/4/20,$0.26 ,$0.90 ,$0.93 ,$0.69 ,$1.17 ,254.81%
Cauliflower,2008/4/20,$0.74 ,$1.12 ,$1.70 ,$1.63 ,$1.30 ,94.26%
Celery,2008/4/20,$0.36 ,$1.36 ,$1.62 ,$1.42 ,$1.82 ,331.94%
Green Leaf Lettuce,2008/4/20,$0.22 ,$1.33 ,$1.73 ,$1.19 ,$2.12 ,623.86%
Iceberg Lettuce,2008/4/20,$0.37 ,$1.35 ,$1.44 ,$1.59 ,$1.72 ,312.16%
Oranges,2008/4/20,$0.08 ,$0.32 ,$0.51 ,$0.45 ,$0.26 ,381.25%
Potatoes,2008/4/20,$1.25 ,$4.81 ,$3.97 ,$3.86 ,$3.99 ,232.60%
Asparagus,2008/4/20,$1.88 ,$2.89 ,$3.12 ,$3.24 ,$3.12 ,64.49%
Red Leaf Lettuce,2008/4/20,$0.24 ,$1.33 ,$1.73 ,$1.19 ,$2.12 ,563.54%
Avocados,2008/4/20,$0.76 ,$1.04 ,$1.59 ,$1.59 ,$1.87 ,100.33%
Cauliflower,2008/4/13,$0.65 ,$0.97 ,$1.55 ,$1.77 ,$1.20 ,111.15%
Celery,2008/4/13,$0.28 ,$1.28 ,$1.52 ,$1.32 ,$1.79 ,427.68%
Green Leaf Lettuce,2008/4/13,$0.25 ,$1.33 ,$1.73 ,$1.10 ,$2.12 ,528.00%
Iceberg Lettuce,2008/4/13,$0.36 ,$1.26 ,$1.19 ,$1.44 ,$1.67 ,286.11%
Oranges,2008/4/13,$0.08 ,$0.37 ,$0.45 ,$0.39 ,$0.27 ,362.50%
Potatoes,2008/4/13,$1.22 ,$4.93 ,$4.12 ,$3.97 ,$0.00 ,166.80%
Asparagus,2008/4/13,$1.47 ,$2.76 ,$3.49 ,$2.99 ,$2.74 ,103.74%
Red Leaf Lettuce,2008/4/13,$0.25 ,$1.33 ,$1.73 ,$1.10 ,$2.16 ,532.00%
Avocados,2008/4/13,$0.74 ,$1.40 ,$1.71 ,$1.79 ,$1.75 ,124.66%
Romaine Lettuce,2008/4/13,$0.21 ,$1.34 ,$1.73 ,$1.21 ,$1.62 ,602.38%
Broccoli Bunches,2008/4/13,$0.66 ,$1.55 ,$1.21 ,$1.79 ,$1.72 ,137.50%
Strawberries,2008/4/13,$0.95 ,$2.37 ,$3.62 ,$2.50 ,$1.99 ,175.79%
Broccoli Crowns,2008/4/13,$0.74 ,$1.91 ,$1.66 ,$1.89 ,$1.87 ,147.64%
Carrots,2008/4/13,$0.26 ,$0.89 ,$0.93 ,$0.74 ,$1.06 ,248.08%
Iceberg Lettuce,2008/4/6,$0.45 ,$1.48 ,$1.29 ,$1.62 ,$1.79 ,243.33%
Oranges,2008/4/6,$0.08 ,$0.32 ,$0.45 ,$0.33 ,$0.30 ,337.50%
Potatoes,2008/4/6,$1.23 ,$4.98 ,$3.97 ,$3.99 ,$5.99 ,284.76%
Asparagus,2008/4/6,$1.21 ,$2.32 ,$2.31 ,$2.37 ,$3.37 ,114.26%
Red Leaf Lettuce,2008/4/6,$0.25 ,$1.33 ,$1.73 ,$1.19 ,$2.19 ,544.00%
Avocados,2008/4/6,$0.72 ,$0.92 ,$1.29 ,$1.62 ,$1.69 ,91.67%
Romaine Lettuce,2008/4/6,$0.22 ,$1.34 ,$1.73 ,$1.22 ,$1.49 ,556.82%
Broccoli Bunches,2008/4/6,$0.56 ,$1.60 ,$1.46 ,$1.79 ,$1.66 ,190.63%
Strawberries,2008/4/6,$0.77 ,$2.87 ,$3.24 ,$2.44 ,$2.74 ,266.56%
Broccoli Crowns,2008/4/6,$0.68 ,$1.48 ,$1.62 ,$1.57 ,$1.66 ,132.72%
Carrots,2008/4/6,$0.26 ,$0.91 ,$0.93 ,$0.76 ,$1.07 ,252.88%
Cauliflower,2008/4/6,$0.57 ,$1.18 ,$1.31 ,$1.26 ,$1.13 ,114.04%
Celery,2008/4/6,$0.25 ,$1.28 ,$1.37 ,$1.42 ,$1.74 ,481.00%
Green Leaf Lettuce,2008/4/6,$0.25 ,$1.34 ,$1.73 ,$1.19 ,$2.19 ,545.00%
Avocados,2008/3/30,$0.73 ,$1.26 ,$1.67 ,$1.54 ,$1.79 ,114.38%
Romaine Lettuce,2008/3/30,$0.16 ,$1.33 ,$1.66 ,$1.22 ,$1.62 ,810.94%
Broccoli Bunches,2008/3/30,$0.43 ,$1.71 ,$1.46 ,$1.49 ,$1.56 ,261.63%
Strawberries,2008/3/30,$0.86 ,$2.53 ,$2.74 ,$2.06 ,$2.62 ,189.24%
Broccoli Crowns,2008/3/30,$0.57 ,$1.41 ,$1.47 ,$1.62 ,$1.74 ,173.68%
Carrots,2008/3/30,$0.26 ,$0.90 ,$0.93 ,$0.72 ,$1.07 ,248.08%
Cauliflower,2008/3/30,$0.42 ,$1.07 ,$1.45 ,$1.64 ,$0.95 ,204.17%
Celery,2008/3/30,$0.25 ,$1.36 ,$1.42 ,$1.42 ,$1.87 ,507.00%
Green Leaf Lettuce,2008/3/30,$0.20 ,$1.33 ,$1.66 ,$2.62 ,$2.24 ,881.25%
Iceberg Lettuce,2008/3/30,$0.34 ,$1.27 ,$1.29 ,$1.44 ,$1.74 ,322.06%
Oranges,2008/3/30,$0.08 ,$0.31 ,$0.45 ,$0.39 ,$0.31 ,356.25%
Potatoes,2008/3/30,$1.22 ,$4.49 ,$3.37 ,$3.79 ,$0.00 ,138.73%
Asparagus,2008/3/30,$1.00 ,$3.21 ,$2.84 ,$2.49 ,$2.74 ,182.00%
Red Leaf Lettuce,2008/3/30,$0.20 ,$1.33 ,$1.66 ,$1.19 ,$2.24 ,702.50%
Carrots,2008/3/23,$0.26 ,$0.90 ,$0.93 ,$0.69 ,$1.17 ,254.81%
Cauliflower,2008/3/23,$0.31 ,$1.07 ,$1.32 ,$1.64 ,$1.10 ,313.71%
Celery,2008/3/23,$0.25 ,$1.37 ,$1.35 ,$1.29 ,$1.82 ,483.00%
Green Leaf Lettuce,2008/3/23,$0.19 ,$1.33 ,$1.73 ,$1.09 ,$2.24 ,740.79%
Iceberg Lettuce,2008/3/23,$0.27 ,$1.29 ,$1.37 ,$1.59 ,$1.67 ,448.15%
Oranges,2008/3/23,$0.08 ,$0.30 ,$0.47 ,$0.38 ,$0.28 ,346.88%
Potatoes,2008/3/23,$1.23 ,$4.29 ,$4.49 ,$3.96 ,$3.99 ,240.04%
Asparagus,2008/3/23,$1.12 ,$3.23 ,$3.49 ,$2.87 ,$2.66 ,173.44%
Red Leaf Lettuce,2008/3/23,$0.20 ,$1.33 ,$1.64 ,$1.09 ,$2.24 ,687.50%
Avocados,2008/3/23,$0.74 ,$1.45 ,$1.41 ,$1.42 ,$2.00 ,112.16%
Romaine Lettuce,2008/3/23,$0.15 ,$1.33 ,$1.61 ,$1.22 ,$1.62 ,863.33%
Broccoli Bunches,2008/3/23,$0.33 ,$1.79 ,$1.30 ,$1.74 ,$1.66 ,391.67%
Strawberries,2008/3/23,$1.01 ,$2.57 ,$3.37 ,$3.24 ,$2.84 ,197.52%
Broccoli Crowns,2008/3/23,$0.49 ,$1.49 ,$1.89 ,$1.94 ,$1.87 ,266.84%
Iceberg Lettuce,2008/3/16,$0.26 ,$1.29 ,$1.37 ,$1.44 ,$1.67 ,454.81%
Oranges,2008/3/16,$0.08 ,$0.35 ,$0.46 ,$0.80 ,$0.29 ,493.75%
Potatoes,2008/3/16,$1.24 ,$3.83 ,$3.37 ,$3.72 ,$0.00 ,120.16%
Asparagus,2008/3/16,$1.28 ,$1.95 ,$2.61 ,$1.24 ,$1.44 ,41.41%
Red Leaf Lettuce,2008/3/16,$0.21 ,$1.33 ,$1.64 ,$1.19 ,$2.49 ,691.67%
Avocados,2008/3/16,$0.73 ,$1.12 ,$1.39 ,$1.72 ,$1.87 ,108.90%
Romaine Lettuce,2008/3/16,$0.16 ,$1.41 ,$1.64 ,$1.22 ,$1.62 ,820.31%
Broccoli Bunches,2008/3/16,$0.41 ,$1.59 ,$1.35 ,$1.59 ,$1.59 ,273.17%
Strawberries,2008/3/16,$1.50 ,$2.41 ,$2.79 ,$2.00 ,$2.74 ,65.67%
Broccoli Crowns,2008/3/16,$0.58 ,$1.65 ,$1.82 ,$1.77 ,$1.59 ,194.40%
Carrots,2008/3/16,$0.26 ,$0.88 ,$0.93 ,$0.74 ,$1.04 ,245.19%
Cauliflower,2008/3/16,$0.47 ,$1.04 ,$1.07 ,$1.77 ,$1.15 ,167.55%
Celery,2008/3/16,$0.31 ,$1.26 ,$1.41 ,$1.20 ,$1.54 ,336.29%
Green Leaf Lettuce,2008/3/16,$0.20 ,$1.33 ,$1.73 ,$1.19 ,$2.24 ,711.25%
Asparagus,2008/3/9,$1.23 ,$2.89 ,$3.36 ,$3.24 ,$2.62 ,146.14%
Red Leaf Lettuce,2008/3/9,$0.25 ,$1.33 ,$1.59 ,$1.30 ,$2.12 ,534.00%
Avocados,2008/3/9,$0.71 ,$1.45 ,$1.71 ,$1.67 ,$1.87 ,135.92%
Romaine Lettuce,2008/3/9,$0.18 ,$1.33 ,$1.59 ,$1.26 ,$1.49 ,687.50%
Broccoli Bunches,2008/3/9,$0.39 ,$1.80 ,$1.46 ,$1.67 ,$1.18 ,291.67%
Strawberries,2008/3/9,$1.69 ,$2.71 ,$3.22 ,$3.49 ,$3.12 ,85.50%
Broccoli Crowns,2008/3/9,$0.58 ,$1.97 ,$1.47 ,$1.82 ,$1.66 ,198.28%
Carrots,2008/3/9,$0.26 ,$0.90 ,$0.93 ,$0.76 ,$1.07 ,251.92%
Cauliflower,2008/3/9,$0.45 ,$1.07 ,$1.53 ,$1.82 ,$1.10 ,206.67%
Celery,2008/3/9,$0.33 ,$1.36 ,$1.37 ,$1.42 ,$1.82 ,352.27%
Green Leaf Lettuce,2008/3/9,$0.22 ,$1.33 ,$1.69 ,$1.30 ,$2.12 ,631.82%
Iceberg Lettuce,2008/3/9,$0.31 ,$1.40 ,$1.37 ,$1.69 ,$1.79 ,404.03%
Oranges,2008/3/9,$0.08 ,$0.29 ,$0.47 ,$0.35 ,$0.33 ,350.00%
Potatoes,2008/3/9,$1.24 ,$4.99 ,$4.16 ,$3.82 ,$2.99 ,221.77%
Potatoes,2008/3/2,$1.22 ,$4.24 ,$4.16 ,$3.97 ,$0.00 ,153.48%
Red Leaf Lettuce,2008/3/2,$0.26 ,$1.34 ,$1.64 ,$1.25 ,$2.37 ,534.62%
Romaine Lettuce,2008/3/2,$0.21 ,$1.34 ,$1.64 ,$1.32 ,$1.62 ,604.76%
Strawberries,2008/3/2,$1.61 ,$2.66 ,$3.16 ,$3.99 ,$2.99 ,98.76%
Carrots,2008/3/2,$0.26 ,$0.85 ,$0.88 ,$0.69 ,$1.07 ,235.58%
Cauliflower,2008/3/2,$0.35 ,$1.02 ,$1.27 ,$1.49 ,$1.00 ,241.43%
Celery,2008/3/2,$0.31 ,$1.36 ,$1.30 ,$1.42 ,$1.87 ,379.84%
Green Leaf Lettuce,2008/3/2,$0.24 ,$1.34 ,$1.73 ,$1.25 ,$2.24 ,583.33%
Iceberg Lettuce,2008/3/2,$0.30 ,$1.39 ,$1.49 ,$1.67 ,$1.67 ,418.33%
Oranges,2008/3/2,$0.08 ,$0.31 ,$0.40 ,$0.39 ,$0.29 ,334.38%
Avocados,2008/3/2,$0.74 ,$1.36 ,$1.59 ,$1.47 ,$1.79 ,109.80%
Broccoli Bunches,2008/3/2,$0.25 ,$1.78 ,$1.23 ,$1.66 ,$1.56 ,523.00%
Broccoli Crowns,2008/3/2,$0.32 ,$2.05 ,$1.67 ,$1.64 ,$1.94 ,470.31%
Celery,2008/2/24,$0.34 ,$1.39 ,$1.37 ,$1.27 ,$1.82 ,330.15%
Green Leaf Lettuce,2008/2/24,$0.25 ,$1.29 ,$1.64 ,$1.09 ,$2.37 ,539.00%
Iceberg Lettuce,2008/2/24,$0.32 ,$1.40 ,$1.32 ,$1.57 ,$1.67 ,365.63%
