Dataset Name,Column 1,Column 2,Pearson Correlation Coefficient,Spearman Correlation Coefficient,Kendall Correlation Coefficient,question,difficulty
Los Angeles Library Monthly Statistics,Total Cardholders,# of Attendees at Children's and Teen Programming,"{""coefficient"": 0.54308, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.53376, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.39394, ""conclusion"": ""Not strongly correlated""}",Are variations in Total Cardholders associated with variations in # of Attendees at Children's and Teen Programming?,easy
Los Angeles Library Monthly Statistics,Total Cardholders,# of Attendees at Children's and Teen Programming,"{""coefficient"": 0.54308, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.53376, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.39394, ""conclusion"": ""Not strongly correlated""}",Do patterns observed in Total Cardholders similarly appear in # of Attendees at Children's and Teen Programming?,easy
Los Angeles Library Monthly Statistics,Total Cardholders,# of Attendees at Children's and Teen Programming,"{""coefficient"": 0.54308, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.53376, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.39394, ""conclusion"": ""Not strongly correlated""}",Is there a direct relationship between Total Cardholders and # of Attendees at Children's and Teen Programming?,easy
Los Angeles Library Monthly Statistics,Total Cardholders,# of Attendees at Children's and Teen Programming,"{""coefficient"": 0.54308, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.53376, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.39394, ""conclusion"": ""Not strongly correlated""}",Are Total Cardholders and # of Attendees at Children's and Teen Programming related in any way?,easy
Los Angeles Library Monthly Statistics,Total Computer Usage (Wireless + PC Sessions),# of Homeless Individuals Served at The Source,"{""coefficient"": -0.64413, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.52812, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.33934, ""conclusion"": ""Not strongly correlated""}",How consistent is the relationship between Total Computer Usage (Wireless + PC Sessions) and # of Homeless Individuals Served at The Source?,easy
Los Angeles Library Monthly Statistics,Total Computer Usage (Wireless + PC Sessions),# of Homeless Individuals Served at The Source,"{""coefficient"": -0.64413, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.52812, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.33934, ""conclusion"": ""Not strongly correlated""}",How strong is the correlation between Total Computer Usage (Wireless + PC Sessions) and # of Homeless Individuals Served at The Source?,easy
Los Angeles Library Monthly Statistics,Total Computer Usage (Wireless + PC Sessions),# of Homeless Individuals Served at The Source,"{""coefficient"": -0.64413, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.52812, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.33934, ""conclusion"": ""Not strongly correlated""}",Do patterns observed in Total Computer Usage (Wireless + PC Sessions) similarly appear in # of Homeless Individuals Served at The Source?,easy
Los Angeles Library Monthly Statistics,Total Computer Usage (Wireless + PC Sessions),# of Homeless Individuals Served at The Source,"{""coefficient"": -0.64413, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.52812, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.33934, ""conclusion"": ""Not strongly correlated""}",Is the connection between Total Computer Usage (Wireless + PC Sessions) and # of Homeless Individuals Served at The Source strong?,easy
Los Angeles Library Monthly Statistics,Total Computer Usage (Wireless + PC Sessions),# of Homeless Individuals Served at The Source,"{""coefficient"": -0.64413, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.52812, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.33934, ""conclusion"": ""Not strongly correlated""}",How closely do Total Computer Usage (Wireless + PC Sessions) and # of Homeless Individuals Served at The Source follow a straight-line relationship?,easy
Los Angeles Library Monthly Statistics,# of Homeless Individuals Served at The Source,# of Attendees at Children's and Teen Programming,"{""coefficient"": 0.47965, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.50802, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.32576, ""conclusion"": ""Not strongly correlated""}",Are # of Homeless Individuals Served at The Source and # of Attendees at Children's and Teen Programming related in any way?,easy
Los Angeles Library Monthly Statistics,# of Homeless Individuals Served at The Source,# of Attendees at Children's and Teen Programming,"{""coefficient"": 0.47965, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.50802, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.32576, ""conclusion"": ""Not strongly correlated""}",Are # of Homeless Individuals Served at The Source and # of Attendees at Children's and Teen Programming correlated with each other in a linear manner?,easy
Los Angeles Library Monthly Statistics,# of Homeless Individuals Served at The Source,# of Attendees at Children's and Teen Programming,"{""coefficient"": 0.47965, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.50802, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.32576, ""conclusion"": ""Not strongly correlated""}",Are movements in # of Homeless Individuals Served at The Source reflected similarly in # of Attendees at Children's and Teen Programming?,easy
Los Angeles Library Monthly Statistics,# of Homeless Individuals Served at The Source,# of Attendees at Children's and Teen Programming,"{""coefficient"": 0.47965, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.50802, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.32576, ""conclusion"": ""Not strongly correlated""}",Is there a linear relationship between # of Homeless Individuals Served at The Source and # of Attendees at Children's and Teen Programming?,easy
Los Angeles Library Monthly Statistics,# of Homeless Individuals Served at The Source,# of Attendees at Children's and Teen Programming,"{""coefficient"": 0.47965, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.50802, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.32576, ""conclusion"": ""Not strongly correlated""}",Is there a direct relationship between # of Homeless Individuals Served at The Source and # of Attendees at Children's and Teen Programming?,easy
Pokedex Dataset,Total,HP,"{""coefficient"": 0.64263, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.74074, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.56292, ""conclusion"": ""Strongly correlated""}",Are variations in Total associated with variations in HP?,easy
Pokedex Dataset,Total,HP,"{""coefficient"": 0.64263, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.74074, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.56292, ""conclusion"": ""Strongly correlated""}",How do changes in Total correlate with changes in HP?,easy
Pokedex Dataset,Total,HP,"{""coefficient"": 0.64263, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.74074, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.56292, ""conclusion"": ""Strongly correlated""}",Is there a direct relationship between Total and HP?,easy
Pokedex Dataset,Total,HP,"{""coefficient"": 0.64263, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.74074, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.56292, ""conclusion"": ""Strongly correlated""}",Is there a correlation between Total and HP?,easy
Pokedex Dataset,Total,HP,"{""coefficient"": 0.64263, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.74074, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.56292, ""conclusion"": ""Strongly correlated""}",Do Total and HP show any linear correlation?,easy
Pokedex Dataset,Total,Attack,"{""coefficient"": 0.70416, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.69964, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.51801, ""conclusion"": ""Strongly correlated""}",Is the relationship between Total and Attack consistent?,easy
Pokedex Dataset,Total,Attack,"{""coefficient"": 0.70416, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.69964, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.51801, ""conclusion"": ""Strongly correlated""}",Are Total and Attack correlated with each other in a linear manner?,easy
Pokedex Dataset,Total,Attack,"{""coefficient"": 0.70416, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.69964, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.51801, ""conclusion"": ""Strongly correlated""}",Is the connection between Total and Attack strong?,easy
Pokedex Dataset,Total,Attack,"{""coefficient"": 0.70416, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.69964, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.51801, ""conclusion"": ""Strongly correlated""}",Do Total and Attack show any linear correlation?,easy
Pokedex Dataset,Total,Attack,"{""coefficient"": 0.70416, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.69964, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.51801, ""conclusion"": ""Strongly correlated""}",Is there a correlation between Total and Attack?,easy
Pokedex Dataset,Total,Defense,"{""coefficient"": 0.60583, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.67465, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.49972, ""conclusion"": ""Not strongly correlated""}",Do changes in Total relate to changes in Defense?,easy
Pokedex Dataset,Total,Defense,"{""coefficient"": 0.60583, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.67465, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.49972, ""conclusion"": ""Not strongly correlated""}",Is there a linear relationship between Total and Defense?,easy
Pokedex Dataset,Total,Defense,"{""coefficient"": 0.60583, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.67465, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.49972, ""conclusion"": ""Not strongly correlated""}",Are Total and Defense correlated with each other in a linear manner?,easy
Pokedex Dataset,Total,Defense,"{""coefficient"": 0.60583, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.67465, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.49972, ""conclusion"": ""Not strongly correlated""}",How closely do Total and Defense follow a straight-line relationship?,easy
Pokedex Dataset,Total,Defense,"{""coefficient"": 0.60583, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.67465, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.49972, ""conclusion"": ""Not strongly correlated""}",Are there any correlations between Total and Defense over time?,easy
Pokedex Dataset,Total,Sp_Atk,"{""coefficient"": 0.72374, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.70728, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.53252, ""conclusion"": ""Strongly correlated""}",Do changes in Total relate to changes in Sp_Atk?,easy
Pokedex Dataset,Total,Sp_Atk,"{""coefficient"": 0.72374, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.70728, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.53252, ""conclusion"": ""Strongly correlated""}",Are movements in Total reflected similarly in Sp_Atk?,easy
Pokedex Dataset,Total,Sp_Atk,"{""coefficient"": 0.72374, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.70728, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.53252, ""conclusion"": ""Strongly correlated""}",Are Total and Sp_Atk correlated with each other in a linear manner?,easy
Pokedex Dataset,Total,Sp_Atk,"{""coefficient"": 0.72374, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.70728, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.53252, ""conclusion"": ""Strongly correlated""}",Do patterns observed in Total similarly appear in Sp_Atk?,easy
Pokedex Dataset,Total,Sp_Atk,"{""coefficient"": 0.72374, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.70728, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.53252, ""conclusion"": ""Strongly correlated""}",Is the relationship between Total and Sp_Atk consistent?,easy
Pokedex Dataset,Total,Sp_Def,"{""coefficient"": 0.7065, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.7452, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.56102, ""conclusion"": ""Strongly correlated""}",Is the connection between Total and Sp_Def strong?,easy
Pokedex Dataset,Total,Sp_Def,"{""coefficient"": 0.7065, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.7452, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.56102, ""conclusion"": ""Strongly correlated""}",Are there any correlations between Total and Sp_Def over time?,easy
Pokedex Dataset,Total,Sp_Def,"{""coefficient"": 0.7065, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.7452, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.56102, ""conclusion"": ""Strongly correlated""}",Are variations in Total associated with variations in Sp_Def?,easy
Pokedex Dataset,Total,Sp_Def,"{""coefficient"": 0.7065, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.7452, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.56102, ""conclusion"": ""Strongly correlated""}",How strong is the correlation between Total and Sp_Def?,easy
Pokedex Dataset,Total,Sp_Def,"{""coefficient"": 0.7065, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.7452, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.56102, ""conclusion"": ""Strongly correlated""}",How consistent is the relationship between Total and Sp_Def?,easy
Pokedex Dataset,Total,Speed,"{""coefficient"": 0.54889, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.5373, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.37929, ""conclusion"": ""Not strongly correlated""}",How do changes in Total correlate with changes in Speed?,easy
Pokedex Dataset,Total,Speed,"{""coefficient"": 0.54889, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.5373, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.37929, ""conclusion"": ""Not strongly correlated""}",How consistent is the relationship between Total and Speed?,easy
Pokedex Dataset,Total,Speed,"{""coefficient"": 0.54889, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.5373, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.37929, ""conclusion"": ""Not strongly correlated""}",Do patterns observed in Total similarly appear in Speed?,easy
Pokedex Dataset,Total,Speed,"{""coefficient"": 0.54889, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.5373, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.37929, ""conclusion"": ""Not strongly correlated""}",Is there a linear relationship between Total and Speed?,easy
Pokedex Dataset,Total,Speed,"{""coefficient"": 0.54889, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.5373, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.37929, ""conclusion"": ""Not strongly correlated""}",How does the direction of change in Total relate to Speed?,easy
Pokedex Dataset,Total,Height_m,"{""coefficient"": 0.52681, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.72149, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.56021, ""conclusion"": ""Strongly correlated""}",Are Total and Height_m related in any way?,easy
Pokedex Dataset,Total,Height_m,"{""coefficient"": 0.52681, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.72149, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.56021, ""conclusion"": ""Strongly correlated""}",Are movements in Total reflected similarly in Height_m?,easy
Pokedex Dataset,Total,Height_m,"{""coefficient"": 0.52681, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.72149, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.56021, ""conclusion"": ""Strongly correlated""}",How closely do Total and Height_m follow a straight-line relationship?,easy
Pokedex Dataset,Total,Height_m,"{""coefficient"": 0.52681, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.72149, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.56021, ""conclusion"": ""Strongly correlated""}",How strong is the correlation between Total and Height_m?,easy
Pokedex Dataset,Total,Height_m,"{""coefficient"": 0.52681, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.72149, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.56021, ""conclusion"": ""Strongly correlated""}",How do changes in Total correlate with changes in Height_m?,easy
Pokedex Dataset,Total,Weight_kg,"{""coefficient"": 0.53597, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.65013, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.48066, ""conclusion"": ""Not strongly correlated""}",Do changes in Total relate to changes in Weight_kg?,easy
Pokedex Dataset,Total,Weight_kg,"{""coefficient"": 0.53597, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.65013, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.48066, ""conclusion"": ""Not strongly correlated""}",Are movements in Total reflected similarly in Weight_kg?,easy
Pokedex Dataset,Total,Weight_kg,"{""coefficient"": 0.53597, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.65013, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.48066, ""conclusion"": ""Not strongly correlated""}",Is the relationship between Total and Weight_kg consistent?,easy
Pokedex Dataset,Total,Weight_kg,"{""coefficient"": 0.53597, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.65013, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.48066, ""conclusion"": ""Not strongly correlated""}",Do Total and Weight_kg show any linear correlation?,easy
Pokedex Dataset,Total,Weight_kg,"{""coefficient"": 0.53597, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.65013, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.48066, ""conclusion"": ""Not strongly correlated""}",How closely do Total and Weight_kg follow a straight-line relationship?,easy
Pokedex Dataset,Total,Catch_Rate,"{""coefficient"": -0.73828, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.72477, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.57797, ""conclusion"": ""Strongly correlated""}",Do changes in Total relate to changes in Catch_Rate?,easy
Pokedex Dataset,Total,Catch_Rate,"{""coefficient"": -0.73828, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.72477, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.57797, ""conclusion"": ""Strongly correlated""}",How does the direction of change in Total relate to Catch_Rate?,easy
Pokedex Dataset,Total,Catch_Rate,"{""coefficient"": -0.73828, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.72477, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.57797, ""conclusion"": ""Strongly correlated""}",How consistent is the relationship between Total and Catch_Rate?,easy
Pokedex Dataset,Total,Catch_Rate,"{""coefficient"": -0.73828, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.72477, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.57797, ""conclusion"": ""Strongly correlated""}",Is there a direct relationship between Total and Catch_Rate?,easy
Pokedex Dataset,Total,Catch_Rate,"{""coefficient"": -0.73828, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.72477, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.57797, ""conclusion"": ""Strongly correlated""}",Are movements in Total reflected similarly in Catch_Rate?,easy
Pokedex Dataset,HP,Attack,"{""coefficient"": 0.43168, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.57184, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.41924, ""conclusion"": ""Not strongly correlated""}",Is there a direct relationship between HP and Attack?,easy
Pokedex Dataset,HP,Attack,"{""coefficient"": 0.43168, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.57184, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.41924, ""conclusion"": ""Not strongly correlated""}",Are variations in HP associated with variations in Attack?,easy
Pokedex Dataset,HP,Attack,"{""coefficient"": 0.43168, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.57184, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.41924, ""conclusion"": ""Not strongly correlated""}",How strong is the correlation between HP and Attack?,easy
Pokedex Dataset,HP,Attack,"{""coefficient"": 0.43168, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.57184, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.41924, ""conclusion"": ""Not strongly correlated""}",How do changes in HP correlate with changes in Attack?,easy
Pokedex Dataset,HP,Attack,"{""coefficient"": 0.43168, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.57184, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.41924, ""conclusion"": ""Not strongly correlated""}",Is there a correlation between HP and Attack?,easy
Pokedex Dataset,HP,Sp_Def,"{""coefficient"": 0.37601, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.50042, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.36291, ""conclusion"": ""Not strongly correlated""}",Do patterns observed in HP similarly appear in Sp_Def?,easy
Pokedex Dataset,HP,Sp_Def,"{""coefficient"": 0.37601, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.50042, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.36291, ""conclusion"": ""Not strongly correlated""}",Are movements in HP reflected similarly in Sp_Def?,easy
Pokedex Dataset,HP,Sp_Def,"{""coefficient"": 0.37601, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.50042, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.36291, ""conclusion"": ""Not strongly correlated""}",How does the direction of change in HP relate to Sp_Def?,easy
Pokedex Dataset,HP,Sp_Def,"{""coefficient"": 0.37601, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.50042, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.36291, ""conclusion"": ""Not strongly correlated""}",Is there a correlation between HP and Sp_Def?,easy
Pokedex Dataset,HP,Sp_Def,"{""coefficient"": 0.37601, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.50042, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.36291, ""conclusion"": ""Not strongly correlated""}",Do HP and Sp_Def show any linear correlation?,easy
Pokedex Dataset,HP,Height_m,"{""coefficient"": 0.44287, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.61623, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.46879, ""conclusion"": ""Not strongly correlated""}",Is the connection between HP and Height_m strong?,easy
Pokedex Dataset,HP,Height_m,"{""coefficient"": 0.44287, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.61623, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.46879, ""conclusion"": ""Not strongly correlated""}",Are HP and Height_m correlated with each other in a linear manner?,easy
Pokedex Dataset,HP,Height_m,"{""coefficient"": 0.44287, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.61623, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.46879, ""conclusion"": ""Not strongly correlated""}",Is there a correlation between HP and Height_m?,easy
Pokedex Dataset,HP,Height_m,"{""coefficient"": 0.44287, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.61623, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.46879, ""conclusion"": ""Not strongly correlated""}",How do changes in HP correlate with changes in Height_m?,easy
Pokedex Dataset,HP,Height_m,"{""coefficient"": 0.44287, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.61623, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.46879, ""conclusion"": ""Not strongly correlated""}",Do HP and Height_m show any linear correlation?,easy
Pokedex Dataset,HP,Weight_kg,"{""coefficient"": 0.43132, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.5793, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.42553, ""conclusion"": ""Not strongly correlated""}",Are movements in HP reflected similarly in Weight_kg?,easy
Pokedex Dataset,HP,Weight_kg,"{""coefficient"": 0.43132, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.5793, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.42553, ""conclusion"": ""Not strongly correlated""}",Are HP and Weight_kg related in any way?,easy
Pokedex Dataset,HP,Weight_kg,"{""coefficient"": 0.43132, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.5793, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.42553, ""conclusion"": ""Not strongly correlated""}",How consistent is the relationship between HP and Weight_kg?,easy
Pokedex Dataset,HP,Weight_kg,"{""coefficient"": 0.43132, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.5793, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.42553, ""conclusion"": ""Not strongly correlated""}",Do HP and Weight_kg show any linear correlation?,easy
Pokedex Dataset,HP,Weight_kg,"{""coefficient"": 0.43132, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.5793, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.42553, ""conclusion"": ""Not strongly correlated""}",Is the relationship between HP and Weight_kg consistent?,easy
Pokedex Dataset,HP,Catch_Rate,"{""coefficient"": -0.47872, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.51613, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.38717, ""conclusion"": ""Not strongly correlated""}",Are HP and Catch_Rate correlated with each other in a linear manner?,easy
Pokedex Dataset,HP,Catch_Rate,"{""coefficient"": -0.47872, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.51613, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.38717, ""conclusion"": ""Not strongly correlated""}",How consistent is the relationship between HP and Catch_Rate?,easy
Pokedex Dataset,HP,Catch_Rate,"{""coefficient"": -0.47872, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.51613, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.38717, ""conclusion"": ""Not strongly correlated""}",Do changes in HP relate to changes in Catch_Rate?,easy
Pokedex Dataset,HP,Catch_Rate,"{""coefficient"": -0.47872, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.51613, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.38717, ""conclusion"": ""Not strongly correlated""}",Is there a linear relationship between HP and Catch_Rate?,easy
Pokedex Dataset,HP,Catch_Rate,"{""coefficient"": -0.47872, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.51613, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.38717, ""conclusion"": ""Not strongly correlated""}",How does the direction of change in HP relate to Catch_Rate?,easy
Pokedex Dataset,Attack,Defense,"{""coefficient"": 0.43323, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.51297, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.3665, ""conclusion"": ""Not strongly correlated""}",Is there a linear relationship between Attack and Defense?,easy
Pokedex Dataset,Attack,Defense,"{""coefficient"": 0.43323, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.51297, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.3665, ""conclusion"": ""Not strongly correlated""}",Is the connection between Attack and Defense strong?,easy
Pokedex Dataset,Attack,Defense,"{""coefficient"": 0.43323, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.51297, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.3665, ""conclusion"": ""Not strongly correlated""}",Is the relationship between Attack and Defense consistent?,easy
Pokedex Dataset,Attack,Defense,"{""coefficient"": 0.43323, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.51297, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.3665, ""conclusion"": ""Not strongly correlated""}",Do Attack and Defense show any linear correlation?,easy
Pokedex Dataset,Attack,Defense,"{""coefficient"": 0.43323, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.51297, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.3665, ""conclusion"": ""Not strongly correlated""}",Are Attack and Defense correlated with each other in a linear manner?,easy
Pokedex Dataset,Attack,Height_m,"{""coefficient"": 0.40859, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.59144, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.43359, ""conclusion"": ""Not strongly correlated""}",Do Attack and Height_m show any linear correlation?,easy
