productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
Red Leaf Lettuce,2007/9/2,0.29,1.24,1.61,1.15,1.87,4.0603
Romaine Lettuce,2007/9/2,0.19,1.39,1.61,1.15,1.24,6.0921
Strawberries,2007/9/2,0.96,3.36,2.66,2.87,3.74,2.2891
Thompson Grapes,2007/9/2,0.69,1.28,1.87,1.99,1.74,1.4928000000000001
Tomatoes,2007/9/2,0.43,1.74,1.81,2.74,1.99,3.814
Broccoli Crowns,2007/9/2,0.39,1.88,1.63,1.69,1.62,3.3718000000000004
Peaches,2007/9/2,0.4,1.75,1.92,1.5,1.79,3.35
Cantaloupe,2007/9/2,0.17,0.97,0.89,0.67,0.51,3.4706
Carrots,2007/9/2,0.27,0.83,0.91,0.66,1.07,2.213
Cauliflower,2007/9/2,0.27,1.07,1.32,1.49,1.0,3.5185000000000004
Celery,2007/9/2,0.28,1.43,1.68,1.12,1.79,4.375
Flame Grapes,2007/9/2,0.83,1.65,1.87,1.62,1.74,1.0723
Green Leaf Lettuce,2007/9/2,0.51,1.24,1.61,1.15,1.87,1.8775
Honeydews,2007/9/2,0.18,0.9,0.87,0.62,1.02,3.7361000000000004
Iceberg Lettuce,2007/9/2,0.56,1.21,1.34,1.19,1.99,1.558
Avocados,2007/9/2,0.78,1.49,1.69,1.99,1.92,1.2724
Nectarines,2007/9/2,0.3,1.64,1.66,1.83,1.94,4.8917
Broccoli Bunches,2007/9/2,0.32,1.69,1.43,1.52,1.66,3.9219
Oranges,2007/9/2,0.11,0.41,0.0,0.4,0.5,1.9772999999999998
Broccoli Crowns,2007/8/26,0.42,1.78,1.58,1.54,1.79,2.9821
Peaches,2007/8/26,0.35,1.32,1.34,1.62,1.79,3.3357
Cantaloupe,2007/8/26,0.2,0.84,0.94,0.52,1.03,3.1625
Plums,2007/8/26,0.61,1.51,1.84,1.62,1.69,1.7294999999999998
Carrots,2007/8/26,0.27,0.83,0.91,0.66,1.07,2.213
Potatoes,2007/8/26,1.0,4.32,4.37,3.82,0.0,2.1275
Cauliflower,2007/8/26,0.23,1.19,1.27,1.64,0.95,4.4891000000000005
Red Leaf Lettuce,2007/8/26,0.34,1.27,1.61,1.18,1.87,3.3602999999999996
Celery,2007/8/26,0.23,1.4,1.62,1.42,1.79,5.7717
Romaine Lettuce,2007/8/26,0.26,1.24,1.61,1.15,1.62,4.4038
Flame Grapes,2007/8/26,0.73,1.57,1.87,1.69,1.74,1.3527000000000002
Strawberries,2007/8/26,1.05,2.98,2.74,2.75,3.49,1.8476
Green Leaf Lettuce,2007/8/26,0.59,1.27,1.61,1.15,1.87,1.5
Thompson Grapes,2007/8/26,0.69,1.44,1.49,1.14,1.74,1.1051
Honeydews,2007/8/26,0.18,0.84,0.84,0.7,1.41,4.2639
Tomatoes,2007/8/26,0.54,1.75,2.04,2.49,1.99,2.8287
Iceberg Lettuce,2007/8/26,0.6,1.36,1.34,1.19,1.99,1.45
Avocados,2007/8/26,0.87,1.49,1.79,1.72,1.92,0.9884999999999999
Nectarines,2007/8/26,0.3,1.62,1.34,1.66,1.59,4.175
Broccoli Bunches,2007/8/26,0.33,1.55,1.37,1.43,1.56,3.4773
Oranges,2007/8/26,0.11,0.3,0.0,0.48,0.53,1.9772999999999998
Oranges,2007/8/19,0.11,0.41,0.0,0.5,0.54,2.2955
Broccoli Crowns,2007/8/19,0.74,1.74,1.82,1.74,1.49,1.2938999999999998
Peaches,2007/8/19,0.35,1.36,1.99,1.5,1.64,3.6357
Cantaloupe,2007/8/19,0.22,0.96,0.73,0.55,0.7,2.3409
Plums,2007/8/19,0.53,1.75,1.33,1.5,1.44,1.8396000000000001
Carrots,2007/8/19,0.27,0.83,0.78,0.66,1.17,2.1852
Potatoes,2007/8/19,1.0,4.73,3.59,3.82,0.0,2.035
Cauliflower,2007/8/19,0.29,0.95,1.27,1.42,1.2,3.1724
Red Leaf Lettuce,2007/8/19,0.36,1.24,1.38,1.01,1.79,2.7639
Celery,2007/8/19,0.21,1.4,1.04,1.32,1.79,5.607100000000001
Romaine Lettuce,2007/8/19,0.29,1.24,1.38,1.05,1.37,3.3448
Flame Grapes,2007/8/19,0.68,1.59,1.82,1.49,1.87,1.489
Strawberries,2007/8/19,1.32,2.74,2.99,2.68,2.74,1.1117000000000001
Green Leaf Lettuce,2007/8/19,0.54,1.24,1.38,1.01,1.79,1.5093
Thompson Grapes,2007/8/19,0.66,1.69,1.82,1.69,1.87,1.6780000000000002
Honeydews,2007/8/19,0.19,0.87,0.78,0.58,1.06,3.3289
Tomatoes,2007/8/19,0.43,1.39,2.56,0.0,1.84,2.3663
Iceberg Lettuce,2007/8/19,0.52,1.24,1.22,1.32,1.72,1.6441999999999999
Avocados,2007/8/19,0.94,1.54,1.79,1.75,1.87,0.8484
Nectarines,2007/8/19,0.3,1.59,1.99,1.09,1.42,4.075
Broccoli Bunches,2007/8/19,0.54,1.59,1.36,1.69,1.45,1.8194
Broccoli Bunches,2007/8/12,0.54,1.54,1.31,1.46,1.38,1.6343
Oranges,2007/8/12,0.12,0.41,0.52,0.52,0.58,3.2292
Broccoli Crowns,2007/8/12,0.79,1.59,1.88,1.49,1.57,1.0665
Peaches,2007/8/12,0.32,2.09,1.69,1.99,1.79,4.9063
Cantaloupe,2007/8/12,0.21,0.87,0.8,0.65,0.75,2.6548000000000003
Plums,2007/8/12,0.42,1.46,1.83,1.66,1.74,2.9821
Carrots,2007/8/12,0.27,0.83,0.91,0.69,1.04,2.213
Potatoes,2007/8/12,1.02,5.24,3.97,3.82,0.0,2.1936
Cauliflower,2007/8/12,0.31,0.95,1.22,1.37,0.75,2.4597
Red Leaf Lettuce,2007/8/12,0.29,1.13,1.71,1.11,1.79,3.9483
Celery,2007/8/12,0.22,1.3,1.54,1.44,1.5,5.568200000000001
Romaine Lettuce,2007/8/12,0.26,1.14,1.78,0.92,1.37,4.0096
Flame Grapes,2007/8/12,0.68,1.65,1.37,1.5,1.49,1.2096
Strawberries,2007/8/12,1.24,2.83,2.86,2.68,2.5,1.1915
Green Leaf Lettuce,2007/8/12,0.35,1.14,1.71,1.11,1.79,3.1071
Thompson Grapes,2007/8/12,0.66,1.65,1.37,1.5,1.49,1.2765000000000002
Honeydews,2007/8/12,0.2,0.75,0.87,0.72,0.84,2.975
Tomatoes,2007/8/12,0.4,2.04,1.75,2.25,2.99,4.6438
Iceberg Lettuce,2007/8/12,0.4,1.37,1.34,1.39,1.64,2.5875
Avocados,2007/8/12,0.94,1.49,1.59,1.84,1.89,0.8112
Nectarines,2007/8/12,0.31,1.74,1.69,2.0,1.45,4.5484
Broccoli Bunches,2007/8/5,0.35,1.42,1.43,1.64,1.45,3.2429
Oranges,2007/8/5,0.13,0.32,0.52,0.48,0.46,2.4231000000000003
Broccoli Crowns,2007/8/5,0.52,1.59,1.89,1.79,1.82,2.4087
Peaches,2007/8/5,0.37,1.65,1.99,1.83,1.99,4.0405
Cantaloupe,2007/8/5,0.13,0.82,1.03,0.49,0.59,4.6346
Plums,2007/8/5,0.43,1.41,1.56,2.16,1.67,2.9535000000000005
Carrots,2007/8/5,0.29,0.86,0.91,0.69,1.07,2.0431
Potatoes,2007/8/5,0.99,3.97,3.97,3.94,0.0,2.0
Cauliflower,2007/8/5,0.23,0.9,1.27,1.54,0.7,3.7935000000000003
Red Leaf Lettuce,2007/8/5,0.21,1.22,1.61,1.01,1.67,5.559500000000001
Celery,2007/8/5,0.2,1.43,1.7,1.22,1.84,6.7375
Romaine Lettuce,2007/8/5,0.18,1.23,1.68,1.07,1.19,6.180599999999999
Flame Grapes,2007/8/5,0.68,1.53,1.57,1.99,1.74,1.511
Strawberries,2007/8/5,1.04,2.69,3.25,2.87,2.87,1.8077
Green Leaf Lettuce,2007/8/5,0.22,1.14,1.57,1.01,1.67,5.125
Thompson Grapes,2007/8/5,0.68,1.53,1.57,2.24,1.74,1.6029
Honeydews,2007/8/5,0.2,0.84,0.87,0.75,0.84,3.125
Tomatoes,2007/8/5,0.42,1.49,2.09,3.24,1.99,4.244
Iceberg Lettuce,2007/8/5,0.34,1.3,1.34,1.37,1.77,3.25
Avocados,2007/8/5,0.85,1.43,1.79,1.45,1.73,0.8824
Nectarines,2007/8/5,0.34,1.65,1.69,2.49,1.69,4.5294
Thompson Grapes,2007/7/29,0.69,1.69,1.74,1.87,1.37,1.4166999999999998
Tomatoes,2007/7/29,0.45,1.74,2.39,2.99,1.99,4.061100000000001
Nectarines,2007/7/29,0.34,1.86,2.12,0.89,1.77,3.8824
Broccoli Bunches,2007/7/29,0.34,1.43,1.43,1.36,1.21,2.9926
Oranges,2007/7/29,0.13,0.32,0.0,0.46,0.53,1.5191999999999999
Broccoli Crowns,2007/7/29,0.43,1.71,1.89,1.49,1.56,2.8663
Peaches,2007/7/29,0.38,1.08,2.12,1.33,0.99,2.6316
Cantaloupe,2007/7/29,0.13,0.8,0.84,0.72,0.89,5.25
Plums,2007/7/29,0.46,1.75,1.76,1.5,1.32,2.4402000000000004
Carrots,2007/7/29,0.3,0.83,0.91,0.66,1.07,1.8917
Potatoes,2007/7/29,0.97,4.18,3.63,3.82,0.0,1.9974
Cauliflower,2007/7/29,0.2,0.89,1.27,1.37,1.05,4.7250000000000005
Red Leaf Lettuce,2007/7/29,0.19,1.39,1.66,1.11,1.74,6.7632
Celery,2007/7/29,0.2,1.56,1.59,1.22,1.87,6.8
Romaine Lettuce,2007/7/29,0.15,1.39,1.66,1.01,1.12,7.6333
Flame Grapes,2007/7/29,0.68,1.56,2.12,1.87,1.37,1.5441
Strawberries,2007/7/29,0.81,2.56,2.39,2.75,2.41,2.1204
Green Leaf Lettuce,2007/7/29,0.19,1.14,1.66,1.11,1.74,6.4342
Honeydews,2007/7/29,0.21,0.75,0.93,0.72,0.99,3.0357
Iceberg Lettuce,2007/7/29,0.34,1.24,1.34,1.17,1.77,3.0588
Avocados,2007/7/29,0.73,1.54,1.79,1.94,1.76,1.4075
Avocados,2007/7/22,0.71,1.42,1.73,1.37,1.79,1.2218
Nectarines,2007/7/22,0.33,1.36,1.74,1.99,1.99,4.3636
Broccoli Bunches,2007/7/22,0.32,1.51,1.22,1.62,1.45,3.5313
Oranges,2007/7/22,0.13,0.32,0.0,0.48,0.0,0.5385
Broccoli Crowns,2007/7/22,0.4,1.58,1.82,1.67,1.85,3.325
Peaches,2007/7/22,0.38,1.62,1.74,1.87,1.99,3.75
Cantaloupe,2007/7/22,0.16,0.94,0.94,0.45,0.89,4.0313
Plums,2007/7/22,0.46,1.53,1.66,2.09,1.89,2.8967
Carrots,2007/7/22,0.32,0.83,0.91,0.66,0.0,0.875
Potatoes,2007/7/22,1.0,4.68,4.22,3.82,0.0,2.18
Cauliflower,2007/7/22,0.21,0.99,1.32,1.49,1.3,5.0714
Red Leaf Lettuce,2007/7/22,0.18,1.35,1.25,1.01,2.04,6.847200000000001
Celery,2007/7/22,0.22,1.43,1.54,1.44,3.07,7.5
Romaine Lettuce,2007/7/22,0.15,1.2,1.25,0.92,1.62,7.3167
Flame Grapes,2007/7/22,0.68,1.71,2.24,1.49,1.94,1.7132
Strawberries,2007/7/22,0.68,2.49,2.91,1.87,3.24,2.864
Green Leaf Lettuce,2007/7/22,0.18,1.38,1.25,1.01,2.16,7.055599999999999
Thompson Grapes,2007/7/22,0.7,1.81,2.37,1.5,1.99,1.7393
Honeydews,2007/7/22,0.2,0.93,0.9,0.67,0.78,3.1
Tomatoes,2007/7/22,0.56,1.79,1.63,0.0,0.0,0.5268
Iceberg Lettuce,2007/7/22,0.38,1.3,1.34,1.22,1.89,2.7829
Avocados,2007/7/15,0.71,1.42,1.67,1.79,1.68,1.3099
Nectarines,2007/7/15,0.34,1.74,1.69,1.74,1.82,4.1397
Broccoli Bunches,2007/7/15,0.28,1.54,1.4,1.59,1.66,4.526800000000001
Oranges,2007/7/15,0.13,0.32,0.52,0.5,0.0,1.5769
Broccoli Crowns,2007/7/15,0.32,1.58,1.89,1.54,1.72,4.2578
Peaches,2007/7/15,0.44,1.59,1.69,1.62,1.79,2.8011000000000004
Cantaloupe,2007/7/15,0.17,0.89,0.84,0.73,0.81,3.8088
Plums,2007/7/15,0.54,1.51,1.82,1.76,1.92,2.2454
Carrots,2007/7/15,0.32,0.81,0.86,0.69,1.99,2.3984
Potatoes,2007/7/15,1.05,4.58,3.96,3.94,0.0,1.9713999999999998
Cauliflower,2007/7/15,0.2,1.04,1.27,1.54,1.3,5.4375
Red Leaf Lettuce,2007/7/15,0.18,1.23,1.78,1.11,1.79,7.2083
Celery,2007/7/15,0.23,1.56,1.72,1.44,2.99,7.3804
Romaine Lettuce,2007/7/15,0.15,1.23,1.78,1.11,1.31,8.05
Flame Grapes,2007/7/15,0.68,1.88,1.42,1.99,1.87,1.6324
Strawberries,2007/7/15,0.69,2.99,2.27,2.68,3.37,3.0978
Green Leaf Lettuce,2007/7/15,0.18,1.3,1.78,1.11,1.82,7.347200000000001
Thompson Grapes,2007/7/15,0.71,1.69,1.79,1.5,2.12,1.5
Honeydews,2007/7/15,0.19,0.89,0.81,0.65,0.84,3.1974
Tomatoes,2007/7/15,0.67,1.99,2.12,0.0,1.79,1.2015
Iceberg Lettuce,2007/7/15,0.34,1.4,1.34,1.32,1.84,3.3382
Honeydews,2007/7/8,0.16,0.96,0.96,0.75,0.84,4.4844
Iceberg Lettuce,2007/7/8,0.35,1.35,1.34,1.42,1.74,3.1786000000000003
Avocados,2007/7/8,0.74,1.49,1.67,1.32,1.55,1.0372
Nectarines,2007/7/8,0.34,1.41,1.46,1.99,2.16,4.1618
Broccoli Bunches,2007/7/8,0.27,1.51,1.49,1.39,1.55,4.5
Oranges,2007/7/8,0.13,0.52,0.0,0.48,0.46,1.8077
Broccoli Crowns,2007/7/8,0.29,1.66,1.82,1.62,1.38,4.5862
Peaches,2007/7/8,0.42,0.97,1.46,1.99,1.74,2.6667
Cantaloupe,2007/7/8,0.13,0.66,0.94,0.6,0.94,5.0385
Plums,2007/7/8,0.52,1.63,1.21,2.14,1.99,2.351
Carrots,2007/7/8,0.32,0.83,0.86,0.69,1.32,1.8906
Potatoes,2007/7/8,1.05,3.9,3.74,3.94,0.0,1.7571
Cauliflower,2007/7/8,0.2,1.04,1.32,1.22,1.15,4.9125000000000005
Red Leaf Lettuce,2007/7/8,0.19,1.32,1.56,1.01,1.69,6.3421
Celery,2007/7/8,0.25,1.43,1.74,1.34,1.92,5.43
Romaine Lettuce,2007/7/8,0.15,1.28,1.59,1.11,1.22,7.6667
Flame Grapes,2007/7/8,0.68,1.98,1.84,1.62,1.62,1.5956000000000001
Strawberries,2007/7/8,0.76,2.49,2.57,2.49,2.37,2.2632
Green Leaf Lettuce,2007/7/8,0.18,1.28,1.56,1.01,2.14,7.319400000000001
Tomatoes,2007/7/8,0.65,1.39,2.19,3.24,1.99,2.3885
Green Leaf Lettuce,2007/7/1,0.18,1.22,1.77,1.15,1.79,7.2361
Thompson Grapes,2007/7/1,0.54,1.6,1.82,1.44,2.24,2.287
Honeydews,2007/7/1,0.15,0.92,0.81,0.7,1.14,4.95
Iceberg Lettuce,2007/7/1,0.29,1.42,1.23,1.27,1.77,3.9052
Nectarines,2007/7/1,0.34,2.49,1.69,1.83,1.87,4.7941
Broccoli Bunches,2007/7/1,0.25,1.56,1.4,1.59,1.66,5.21
Oranges,2007/7/1,0.14,0.0,0.0,0.48,0.37,0.5179
Broccoli Crowns,2007/7/1,0.28,1.48,1.72,1.66,1.66,4.8214
Peaches,2007/7/1,0.43,1.74,1.74,1.66,1.87,3.0756
Cantaloupe,2007/7/1,0.13,0.88,0.73,0.68,0.84,5.0192000000000005
Plums,2007/7/1,0.53,2.24,1.77,2.16,2.04,2.8726
Carrots,2007/7/1,0.31,0.81,0.91,0.66,1.07,1.7823
Potatoes,2007/7/1,1.03,2.47,3.96,3.82,0.0,1.4879
Cauliflower,2007/7/1,0.22,1.03,1.32,1.69,1.25,5.0114
Red Leaf Lettuce,2007/7/1,0.18,1.28,1.77,1.15,1.84,7.3889
Celery,2007/7/1,0.23,1.6,1.53,1.54,1.92,6.162999999999999
Romaine Lettuce,2007/7/1,0.15,1.34,1.77,1.15,1.37,8.3833
Flame Grapes,2007/7/1,0.46,1.6,1.82,1.69,2.24,2.9945999999999997
Strawberries,2007/7/1,0.91,1.99,2.45,2.99,2.99,1.8626
Asparagus,2007/7/1,2.97,3.48,3.66,3.66,3.99,0.24489999999999998
Avocados,2007/7/1,0.76,1.18,1.52,1.32,1.64,0.8618000000000001
Strawberries,2007/6/24,1.05,2.33,2.12,2.99,2.25,1.3071000000000002
Green Leaf Lettuce,2007/6/24,0.18,1.26,1.85,1.15,1.79,7.4028
Thompson Grapes,2007/6/24,0.72,2.4,1.99,1.44,2.24,1.8021
Honeydews,2007/6/24,0.17,0.76,0.93,0.75,0.93,3.9558999999999997
Asparagus,2007/6/24,2.35,3.61,3.32,4.12,4.24,0.6265999999999999
Iceberg Lettuce,2007/6/24,0.3,1.35,1.34,1.49,1.49,3.725
Avocados,2007/6/24,0.76,1.12,1.74,1.42,1.56,0.9211
Nectarines,2007/6/24,0.3,2.08,1.71,2.16,2.04,5.6583000000000006
Broccoli Bunches,2007/6/24,0.25,1.64,1.36,1.69,1.6,5.29
Oranges,2007/6/24,0.14,0.38,0.52,0.48,0.3,2.0
Broccoli Crowns,2007/6/24,0.27,1.66,1.75,1.87,1.62,5.3889
Peaches,2007/6/24,0.44,1.93,1.71,2.16,2.37,3.642
Cantaloupe,2007/6/24,0.13,0.75,0.8,0.68,0.8,4.8269
Plums,2007/6/24,0.57,2.15,2.19,2.33,2.17,2.8772
Carrots,2007/6/24,0.31,0.81,0.91,0.69,1.17,1.8871000000000002
Potatoes,2007/6/24,1.01,4.43,3.96,3.94,4.99,3.2870999999999997
Cauliflower,2007/6/24,0.29,1.14,1.27,1.69,1.1,3.4827999999999997
Red Leaf Lettuce,2007/6/24,0.18,1.26,1.85,1.15,1.79,7.4028
Celery,2007/6/24,0.22,1.43,1.84,1.49,1.92,6.5909
Romaine Lettuce,2007/6/24,0.15,1.36,1.85,1.15,1.24,8.333300000000001
Flame Grapes,2007/6/24,0.63,2.37,1.99,1.99,2.12,2.3611
Flame Grapes,2007/6/17,0.61,1.71,1.12,1.44,1.99,1.5656
Strawberries,2007/6/17,0.96,2.56,2.74,1.83,2.99,1.6354
Green Leaf Lettuce,2007/6/17,0.18,1.28,1.65,1.24,1.83,7.3333
Thompson Grapes,2007/6/17,0.69,1.84,1.94,1.47,1.94,1.6051
Honeydews,2007/6/17,0.19,0.66,0.96,0.4,1.02,3.0
Asparagus,2007/6/17,1.87,3.23,3.32,4.12,2.87,0.8102
Iceberg Lettuce,2007/6/17,0.36,1.47,1.42,1.15,1.67,2.9652999999999996
Avocados,2007/6/17,0.72,1.37,1.62,1.6,1.6,1.1493
Nectarines,2007/6/17,0.36,2.08,1.19,1.75,2.17,3.9931
Broccoli Bunches,2007/6/17,0.25,1.13,1.43,1.62,1.53,4.71
Oranges,2007/6/17,0.14,0.32,0.0,0.0,0.28,0.0714
Broccoli Crowns,2007/6/17,0.27,1.63,1.53,1.37,1.43,4.5185
Peaches,2007/6/17,0.38,1.85,1.19,1.5,1.62,3.0526
Cantaloupe,2007/6/17,0.14,0.91,0.87,0.85,0.66,4.875
Plums,2007/6/17,0.75,2.24,1.94,2.49,2.49,2.0533
Carrots,2007/6/17,0.31,0.74,0.91,0.69,1.04,1.7258000000000002
Potatoes,2007/6/17,1.08,4.25,3.59,3.94,0.0,1.7269
Cauliflower,2007/6/17,0.32,1.14,1.32,1.69,1.15,3.1406
Red Leaf Lettuce,2007/6/17,0.18,1.28,1.65,1.24,1.83,7.3333
Celery,2007/6/17,0.22,1.84,1.87,1.49,1.84,7.0
Romaine Lettuce,2007/6/17,0.15,1.28,1.65,1.15,1.24,7.8667
Flame Grapes,2007/6/10,0.61,1.91,1.74,1.59,2.12,2.0164
Strawberries,2007/6/10,0.89,2.32,2.16,3.0,2.66,1.8483
Green Leaf Lettuce,2007/6/10,0.18,1.18,1.67,1.15,1.9,7.194400000000001
Thompson Grapes,2007/6/10,0.75,2.46,1.74,1.87,2.12,1.73
Honeydews,2007/6/10,0.19,0.84,0.92,0.55,1.08,3.4605
Asparagus,2007/6/10,1.83,3.11,3.42,3.87,2.87,0.8128000000000001
Iceberg Lettuce,2007/6/10,0.39,1.36,1.23,1.52,1.67,2.7051
Avocados,2007/6/10,0.66,1.54,1.79,1.47,1.72,1.4697
Nectarines,2007/6/10,0.36,2.32,2.07,2.0,2.0,4.8264
Broccoli Bunches,2007/6/10,0.25,1.51,1.43,1.27,1.6,4.8100000000000005
Oranges,2007/6/10,0.14,0.54,0.43,0.0,0.32,1.3036
Broccoli Crowns,2007/6/10,0.27,1.63,1.53,1.69,1.16,4.5648
Peaches,2007/6/10,0.36,1.85,1.82,1.97,1.94,4.2639
Cantaloupe,2007/6/10,0.14,0.89,1.13,0.59,0.88,5.232100000000001
Plums,2007/6/10,0.78,1.95,2.37,2.25,2.87,2.0256
Carrots,2007/6/10,0.31,0.74,0.91,0.69,1.07,1.75
Potatoes,2007/6/10,1.11,4.25,3.37,3.94,3.99,2.5023
Cauliflower,2007/6/10,0.26,1.06,1.32,1.67,1.07,3.9231000000000003
Red Leaf Lettuce,2007/6/10,0.18,1.15,1.67,1.15,2.04,7.347200000000001
Celery,2007/6/10,0.25,1.58,1.87,1.57,1.79,5.8100000000000005
Romaine Lettuce,2007/6/10,0.16,1.18,1.67,1.18,0.99,6.8438
Romaine Lettuce,2007/6/3,0.17,1.32,1.73,1.14,1.24,6.9853
Celery,2007/6/3,0.25,1.48,1.53,1.59,1.92,5.5200000000000005
Strawberries,2007/6/3,1.02,2.74,2.37,3.0,2.87,1.6912
Flame Grapes,2007/6/3,0.73,1.93,1.42,2.62,1.99,1.726
Thompson Grapes,2007/6/3,0.91,2.33,1.66,2.62,2.24,1.4313
Green Leaf Lettuce,2007/6/3,0.19,1.28,1.73,1.18,1.9,7.0132
Honeydews,2007/6/3,0.19,0.81,1.0,0.78,1.08,3.8289
Asparagus,2007/6/3,1.64,2.98,2.87,3.62,3.24,0.9375
Iceberg Lettuce,2007/6/3,0.34,1.35,1.42,1.15,1.46,2.9558999999999997
Avocados,2007/6/3,0.68,1.62,1.33,1.82,1.49,1.3015
Nectarines,2007/6/3,0.41,2.29,1.99,1.75,2.74,4.3476
Broccoli Bunches,2007/6/3,0.24,1.58,1.4,1.69,1.39,5.3125
Peaches,2007/6/3,0.39,2.14,1.74,1.99,2.37,4.2821
Broccoli Crowns,2007/6/3,0.26,1.53,1.46,1.67,1.49,4.9135
Plums,2007/6/3,1.0,1.79,2.49,2.99,0.0,0.8175
Cantaloupe,2007/6/3,0.16,0.86,1.06,0.7,1.16,4.9063
Potatoes,2007/6/3,1.08,4.06,3.96,3.82,2.99,2.4329
Carrots,2007/6/3,0.31,0.74,0.78,0.66,1.07,1.621
Red Leaf Lettuce,2007/6/3,0.18,1.35,1.73,1.18,2.04,7.75
Cauliflower,2007/6/3,0.29,0.94,0.92,1.15,1.17,2.6033999999999997
Cantaloupe,2007/5/27,0.19,0.84,1.09,0.5,1.31,3.9211
Red Leaf Lettuce,2007/5/27,0.18,1.35,1.73,1.18,1.99,7.680599999999999
Carrots,2007/5/27,0.34,0.74,0.91,0.66,1.07,1.4853
Romaine Lettuce,2007/5/27,0.16,1.28,1.73,1.18,1.21,7.4375
Cauliflower,2007/5/27,0.33,1.16,1.19,1.77,1.1,2.9545
Strawberries,2007/5/27,1.02,2.5,3.75,2.99,2.99,1.9975
Celery,2007/5/27,0.27,1.6,1.84,1.59,1.92,5.4352
Thompson Grapes,2007/5/27,1.05,2.68,2.34,3.24,3.74,1.8571000000000002
Flame Grapes,2007/5/27,0.89,2.65,2.26,2.37,3.49,2.0253
Green Leaf Lettuce,2007/5/27,0.19,1.28,1.73,1.18,1.97,7.1053
Honeydews,2007/5/27,0.19,0.78,0.96,0.81,1.14,3.8552999999999997
Iceberg Lettuce,2007/5/27,0.26,1.35,1.44,1.27,1.74,4.5769
Nectarines,2007/5/27,0.5,1.82,2.04,2.62,2.87,3.6750000000000003
Peaches,2007/5/27,0.51,1.84,2.04,2.16,2.49,3.1814
Potatoes,2007/5/27,1.08,4.06,3.96,3.82,0.0,1.7407
Asparagus,2007/5/27,1.58,3.22,3.06,3.49,2.62,0.9604
Avocados,2007/5/27,0.69,1.29,1.74,1.67,1.44,1.2246
Broccoli Bunches,2007/5/27,0.24,1.45,1.22,1.53,1.7,5.1458
Broccoli Crowns,2007/5/27,0.26,1.63,1.38,1.79,1.72,5.2692
Broccoli Bunches,2007/5/20,0.24,1.64,1.4,1.72,1.72,5.75
Oranges,2007/5/20,0.15,0.42,0.56,0.59,0.35,2.2
Broccoli Crowns,2007/5/20,0.26,1.83,1.51,1.79,1.74,5.6058
Peaches,2007/5/20,0.62,1.41,2.16,2.87,2.67,2.6734
Cantaloupe,2007/5/20,0.3,0.83,1.0,0.9,1.36,2.4083
Potatoes,2007/5/20,1.06,4.56,4.16,3.84,4.99,3.1392
Carrots,2007/5/20,0.34,0.74,0.91,0.69,1.14,1.5588
Red Leaf Lettuce,2007/5/20,0.18,1.26,1.73,1.28,2.12,7.875
Cauliflower,2007/5/20,0.23,0.99,1.37,1.74,1.13,4.6848
Romaine Lettuce,2007/5/20,0.14,1.21,1.73,1.18,1.19,8.4821
Celery,2007/5/20,0.29,1.7,1.84,1.67,2.24,5.4224000000000006
Strawberries,2007/5/20,1.19,2.74,2.56,2.75,2.87,1.2941
Flame Grapes,2007/5/20,1.5,2.69,2.27,3.37,3.49,0.97
Green Leaf Lettuce,2007/5/20,0.18,1.38,1.73,1.28,1.97,7.8333
Honeydews,2007/5/20,0.22,0.9,0.96,0.81,1.14,3.3295
Asparagus,2007/5/20,1.29,3.15,2.82,3.66,2.87,1.4225
Iceberg Lettuce,2007/5/20,0.23,1.54,1.42,1.49,1.49,5.4565
Avocados,2007/5/20,0.69,1.37,1.62,1.82,1.42,1.2572
Nectarines,2007/5/20,0.73,2.57,1.74,2.99,3.12,2.5685000000000002
Celery,2007/5/13,0.37,1.64,1.92,1.72,1.99,3.9122000000000003
Green Leaf Lettuce,2007/5/13,0.18,1.2,1.78,1.28,2.03,7.7361
Honeydews,2007/5/13,0.27,0.84,0.84,1.19,0.96,2.5463
Iceberg Lettuce,2007/5/13,0.23,1.41,1.37,1.54,1.37,5.1848
Asparagus,2007/5/13,1.29,3.32,2.96,3.74,2.74,1.4728999999999999
Oranges,2007/5/13,0.15,0.46,0.58,0.59,0.41,2.4
Avocados,2007/5/13,0.69,1.29,1.25,1.5,1.31,0.9384
Potatoes,2007/5/13,1.06,4.08,4.16,3.94,4.99,3.0495
Broccoli Bunches,2007/5/13,0.29,1.41,1.01,1.54,1.62,3.8103
Red Leaf Lettuce,2007/5/13,0.18,1.18,1.78,1.28,2.22,7.972200000000001
Broccoli Crowns,2007/5/13,0.29,1.68,1.34,1.79,1.42,4.3707
Romaine Lettuce,2007/5/13,0.14,1.2,1.78,1.18,1.19,8.553600000000001
Cantaloupe,2007/5/13,0.44,0.83,1.0,0.99,1.03,1.1875
Strawberries,2007/5/13,1.61,2.59,2.99,2.7,2.12,0.6149
Carrots,2007/5/13,0.34,0.74,0.88,0.69,0.99,1.4265
Cauliflower,2007/5/13,0.22,1.04,1.04,1.69,1.1,4.5341000000000005
Asparagus,2007/5/6,1.34,2.97,2.37,3.37,2.42,1.0765
Red Leaf Lettuce,2007/5/6,0.18,1.28,1.61,1.28,2.04,7.625
Avocados,2007/5/6,0.68,1.18,1.54,1.65,1.37,1.1103
