dataset,refined_question,relevant_column,results,ground_truth,task,difficulty
Rainfall Dataset of Barak Velly,Could you calculate the kurtosis for the rainfall measurements in September?,"[{""column_header"": ""SEP"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kurtosis"", ""result"": ""2.82988"", ""conclusion"": ""2.82988""}]","{""columns"": [""SEP""], ""methods"": [""Kurtosis""]}",Descriptive Statistics,easy
US Christmas Tree Sales Dataset,What method is used to evaluate the relationship between the fluctuation in tree sales volume and the variation in revenue generated?,"[{""column_header"": ""Number of trees sold"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Sales"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.58242}"", ""conclusion"": ""Strongly correlated""}]","{""columns"": [""Number of trees sold"", ""Sales""], ""methods"": [""Kendall Correlation Coefficient""]}",Correlation Analysis,hard
Los Angeles Library Monthly Statistics,"After accounting for the influence of the total number of library visitors, what is the remaining relationship between the total number of program attendees and the total number of library cardholders?","[{""column_header"": ""Total Program Attendees"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Total Cardholders"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Total Library Visitors"", ""is_strata"": false, ""is_control"": true}]","[{""method"": ""Partial Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.39993, \""p value\"": 0.00088}"", ""conclusion"": ""Not strongly correlated""}]","{""columns"": [""Total Program Attendees"", ""Total Cardholders"", ""Total Library Visitors""], ""methods"": [""Partial Correlation Coefficient""]}",Correlation Analysis,easy
Crop Production Dataset,Do the differences in annual crop production in Bangladesh and India show statistical similarity?,"[{""column_header"": ""Bangladesh"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""India"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 1.57419, \""p value\"": 0.25626}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Bartlett Test"", ""result"": ""{\""stat\"": 1.5529, \""p value\"": 0.21271}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""F-Test for Variance"", ""result"": ""{\""stat\"": 38.98399, \""p value\"": 0.00078}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""Bangladesh"", ""India""], ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}",Variance Test,easy
Exercise and Fitness Metrics Dataset,What are the implications of non-normal distribution of age?,"[{""column_header"": ""Age"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Anderson-Darling Test"", ""result"": ""{\""AD results\"": \""{\\\""stat\\\"": 47.09029, \\\""crit\\\"": 0.575}\""}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Kolmogorov-Smirnov Test for Normality"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Lilliefors Test"", ""result"": ""{\""p value\"": 0.001}"", ""conclusion"": ""Non-normally distributed""}]","{""columns"": [""Age""], ""methods"": [""Anderson-Darling Test"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]}",Distribution Compliance Test,hard
Obesity or CVD Risk Dataset,Does the consumption of food between meals have any connection to the presence of family history with overweight?,"[{""column_header"": ""family_history_with_overweight"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""CAEC"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}]","{""columns"": [""family_history_with_overweight"", ""CAEC""], ""methods"": [""Chi-square Independence Test""]}",Contingency Table Test,hard
Video Games Sales Dataset,"How does the distribution of units sold in North America, in millions, compare to a theoretical normal distribution?","[{""column_header"": ""North America"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Anderson-Darling Test"", ""result"": ""{\""AD results\"": \""{\\\""stat\\\"": 259.83514, \\\""crit\\\"": 0.575}\""}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Kolmogorov-Smirnov Test for Normality"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Lilliefors Test"", ""result"": ""{\""p value\"": 0.001}"", ""conclusion"": ""Non-normally distributed""}]","{""columns"": [""North America""], ""methods"": [""Anderson-Darling Test"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]}",Distribution Compliance Test,hard
Crop Production Dataset,Do the annual crop production figures for Nigeria and China exhibit similar levels of variability?,"[{""column_header"": ""Nigeria"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""China"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 2.15458, \""p value\"": 0.19252}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Bartlett Test"", ""result"": ""{\""stat\"": 4.27597, \""p value\"": 0.03865}"", ""conclusion"": ""Variance significantly difference between them""}, {""method"": ""F-Test for Variance"", ""result"": ""{\""stat\"": 1152.56262, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""Nigeria"", ""China""], ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}",Variance Test,easy
Crop Production Dataset,Do the annual crop production data from the Philippines and Vietnam exhibit comparable levels of variability?,"[{""column_header"": ""Philippines"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Vietnam"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 1.9406, \""p value\"": 0.21303}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Bartlett Test"", ""result"": ""{\""stat\"": 2.02911, \""p value\"": 0.15431}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""F-Test for Variance"", ""result"": ""{\""stat\"": 11.59877, \""p value\"": 0.01439}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""Philippines"", ""Vietnam""], ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}",Variance Test,easy
US Christmas Tree Sales Dataset,Does the number of Christmas trees purchased correlate with the respective fluctuations in income generated from their sales?,"[{""column_header"": ""Number of trees sold"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Sales"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.58242}"", ""conclusion"": ""Strongly correlated""}]","{""columns"": [""Number of trees sold"", ""Sales""], ""methods"": [""Kendall Correlation Coefficient""]}",Correlation Analysis,hard
Student Performance Prediction Dataset,Is there uniformity in the variance of age compared to family relationship quality (famrel)?,"[{""column_header"": ""age"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""famrel"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 73.69079, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""age"", ""famrel""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",Variance Test,hard
Customer Personality Analysis Dataset,"What is the nature of the relationship between the number of days since a customer's last purchase (Recency) and the number of children in the customer's household (Kidhome), after accounting for the customer's yearly household income (Income)?","[{""column_header"": ""Recency"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Kidhome"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Income"", ""is_strata"": false, ""is_control"": true}]","[{""method"": ""Partial Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.01084, \""p value\"": 0.61023}"", ""conclusion"": ""Not strongly correlated""}]","{""columns"": [""Recency"", ""Kidhome"", ""Income""], ""methods"": [""Partial Correlation Coefficient""]}",Correlation Analysis,easy
Student Performance Prediction Dataset,Do variations exist in the impact of parental cohabitation status on nursery attendance when analyzed across different residential area categories?,"[{""column_header"": ""Pstatus"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""nursery"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""address"", ""is_strata"": true, ""is_control"": false}]","[{""method"": ""Mantel-Haenszel Test"", ""result"": ""{\""p value\"": 0.42654}"", ""conclusion"": ""Independent""}]","{""columns"": [""Pstatus"", ""nursery"", ""address""], ""methods"": [""Mantel-Haenszel Test""]}",Contingency Table Test,easy
Students Math-Reading-Writing Performance Dataset,Could you calculate the quartile distribution of the scores on the standardized writing test?,"[{""column_header"": ""writing score"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Quartile"", ""result"": ""\""{'Min': 10.0, 'Q1': 57.75, 'Median': 69.0, 'Q3': 79.0, 'Max': 100.0}\"""", ""conclusion"": ""\""{'Min': 10.0, 'Q1': 57.75, 'Median': 69.0, 'Q3': 79.0, 'Max': 100.0}\""""}]","{""columns"": [""writing score""], ""methods"": [""Quartile""]}",Descriptive Statistics,easy
Terrorist Attacks Dataset,"What is the partial correlation between the number of deaths of individuals aged between 21 and 50 and the involvement of assassination as an attack method, while considering the involvement of hostage taking in barricade incidents as another attack method?","[{""column_header"": ""Death Age : 21-50 "", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Attack method: Assassination"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Attack method: Hostage Taking (Barricade Incident)"", ""is_strata"": false, ""is_control"": true}]","[{""method"": ""Partial Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.44264, \""p value\"": 0.0}"", ""conclusion"": ""Not strongly correlated""}]","{""columns"": [""Death Age : 21-50 "", ""Attack method: Assassination"", ""Attack method: Hostage Taking (Barricade Incident)""], ""methods"": [""Partial Correlation Coefficient""]}",Correlation Analysis,easy
Customer Personality Analysis Dataset,Could you calculate the quartile divisions for the variable representing the number of days since the customer's last purchase?,"[{""column_header"": ""Recency"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Quartile"", ""result"": ""\""{'Min': 0.0, 'Q1': 24.0, 'Median': 49.0, 'Q3': 74.0, 'Max': 99.0}\"""", ""conclusion"": ""\""{'Min': 0.0, 'Q1': 24.0, 'Median': 49.0, 'Q3': 74.0, 'Max': 99.0}\""""}]","{""columns"": [""Recency""], ""methods"": [""Quartile""]}",Descriptive Statistics,easy
Income and Happiness Score Dataset,Does the average self-reported happiness score (avg_satisfaction) exhibit consistency with a normal distribution?,"[{""column_header"": ""avg_satisfaction"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Anderson-Darling Test"", ""result"": ""{\""AD results\"": \""{\\\""stat\\\"": 0.35789, \\\""crit\\\"": 0.557}\""}"", ""conclusion"": ""Normally distributed""}, {""method"": ""Kolmogorov-Smirnov Test for Normality"", ""result"": ""{\""p value\"": 0.7467}"", ""conclusion"": ""Normally distributed""}, {""method"": ""Lilliefors Test"", ""result"": ""{\""p value\"": 0.40681}"", ""conclusion"": ""Normally distributed""}]","{""columns"": [""avg_satisfaction""], ""methods"": [""Anderson-Darling Test"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]}",Distribution Compliance Test,hard
Monroe County Car Crach Dataset,"Is it appropriate to model the distribution of the variable ""Hour,"" representing the time of day when the crash occurred, using an Exponential distribution?","[{""column_header"": ""Hour"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kolmogorov-Smirnov Test for Exponential distribution"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Non-compliance""}]","{""columns"": [""Hour""], ""methods"": [""Kolmogorov-Smirnov Test for Exponential distribution""]}",Distribution Compliance Test,easy
Terrorist Attacks Dataset,Is the data distribution of deaths by suicide among terrorists consistent with the Gamma model?,"[{""column_header"": ""Terrorist Death Type : Suicide"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kolmogorov-Smirnov Test for Gamma distribution"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Non-compliance""}]","{""columns"": [""Terrorist Death Type : Suicide""], ""methods"": [""Kolmogorov-Smirnov Test for Gamma distribution""]}",Distribution Compliance Test,easy
Crop Production Dataset,Is the variability of annual crop production in Indonesia similar to that in Bangladesh?,"[{""column_header"": ""Indonesia"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Bangladesh"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": -0.57735, \""p value\"": 0.5637}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 3.74861, \""p value\"": 0.10098}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Bartlett Test"", ""result"": ""{\""stat\"": 1.38242, \""p value\"": 0.23969}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""F-Test for Variance"", ""result"": ""{\""stat\"": 2.21496, \""p value\"": 0.18725}"", ""conclusion"": ""Variance not significantly difference between them""}]","{""columns"": [""Indonesia"", ""Bangladesh""], ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}",Variance Test,easy
Terrorist Attacks Dataset,Can the Kolmogorov-Smirnov test detect any differences between the distributions of incidents involving hostage taking in barricades and the number of deaths of individuals aged 6 to 10?,"[{""column_header"": ""Attack method: Hostage Taking (Barricade Incident)"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Death Age : 6-10 "", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kolmogorov-Smirnov Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Distribution significantly different""}]","{""columns"": [""Attack method: Hostage Taking (Barricade Incident)"", ""Death Age : 6-10 ""], ""methods"": [""Kolmogorov-Smirnov Test""]}",Distribution Compliance Test,easy
Dataset for Admission in the University,What is the range of values for the Strength of the applicant's Statement of Purpose (SOP)?,"[{""column_header"": ""SOP"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Range"", ""result"": ""4.0"", ""conclusion"": ""4.0""}]","{""columns"": [""SOP""], ""methods"": [""Range""]}",Descriptive Statistics,easy
FIFA Official Dataset 2023,Are there any correlations between the observed frequencies of preferred foot and the different body types?,"[{""column_header"": ""Preferred Foot"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Body Type"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}]","{""columns"": [""Preferred Foot"", ""Body Type""], ""methods"": [""Chi-square Independence Test""]}",Contingency Table Test,hard
Stroke Prediction Dataset,Does there appear to be a significant interaction between the presence of heart disease and the type of work that an individual is engaged in?,"[{""column_header"": ""heart_disease"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""work_type"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}]","{""columns"": [""heart_disease"", ""work_type""], ""methods"": [""Chi-square Independence Test""]}",Contingency Table Test,hard
US Christmas Tree Sales Dataset,Do the values in the Average Tree Price column exhibit characteristics of a normal distribution?,"[{""column_header"": ""Average Tree Price"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Anderson-Darling Test"", ""result"": ""{\""AD results\"": \""{\\\""stat\\\"": 0.49676, \\\""crit\\\"": 0.497}\""}"", ""conclusion"": ""Normally distributed""}, {""method"": ""Shapiro-Wilk Test of Normality"", ""result"": ""{\""p value\"": 0.18366}"", ""conclusion"": ""Normally distributed""}, {""method"": ""Kolmogorov-Smirnov Test for Normality"", ""result"": ""{\""p value\"": 0.59088}"", ""conclusion"": ""Normally distributed""}]","{""columns"": [""Average Tree Price""], ""methods"": [""Anderson-Darling Test"", ""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality""]}",Distribution Compliance Test,hard
FIFA Official Dataset 2023,Is the variability in Age similar to that in Overall?,"[{""column_header"": ""Age"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Overall"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.00059, \""p value\"": 0.99953}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 4351.93, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""Age"", ""Overall""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",Variance Test,hard
Bank Customer Churn Prediction Dataset,What is the quartile distribution of the age of the bank customers?,"[{""column_header"": ""Age"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Quartile"", ""result"": ""\""{'Min': 18.0, 'Q1': 32.0, 'Median': 37.0, 'Q3': 44.0, 'Max': 92.0}\"""", ""conclusion"": ""\""{'Min': 18.0, 'Q1': 32.0, 'Median': 37.0, 'Q3': 44.0, 'Max': 92.0}\""""}]","{""columns"": [""Age""], ""methods"": [""Quartile""]}",Descriptive Statistics,easy
Students Math-Reading-Writing Performance Dataset,How does the distribution of the students' math scores compare to a theoretical normal distribution?,"[{""column_header"": ""math score"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Anderson-Darling Test"", ""result"": ""{\""AD results\"": \""{\\\""stat\\\"": 0.65721, \\\""crit\\\"": 0.574}\""}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Kolmogorov-Smirnov Test for Normality"", ""result"": ""{\""p value\"": 0.29427}"", ""conclusion"": ""Normally distributed""}, {""method"": ""Lilliefors Test"", ""result"": ""{\""p value\"": 0.03567}"", ""conclusion"": ""Non-normally distributed""}]","{""columns"": [""math score""], ""methods"": [""Anderson-Darling Test"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]}",Distribution Compliance Test,hard
Student Performance Prediction Dataset,Do the reasons for selecting this school stem from factors other than the aspiration for further education?,"[{""column_header"": ""reason"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""higher"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.01527}"", ""conclusion"": ""Not independent""}]","{""columns"": [""reason"", ""higher""], ""methods"": [""Chi-square Independence Test""]}",Contingency Table Test,hard
Customer Personality Analysis Dataset,"Is the amount spent on wine in the last 2 years, MntWines, normally distributed?","[{""column_header"": ""MntWines"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Anderson-Darling Test"", ""result"": ""{\""AD results\"": \""{\\\""stat\\\"": 122.77772, \\\""crit\\\"": 0.575}\""}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Kolmogorov-Smirnov Test for Normality"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Lilliefors Test"", ""result"": ""{\""p value\"": 0.001}"", ""conclusion"": ""Non-normally distributed""}]","{""columns"": [""MntWines""], ""methods"": [""Anderson-Darling Test"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]}",Distribution Compliance Test,hard
Lung Cancer Survey Dataset,Does the impact of WHEEZING on CHEST PAIN remain consistent across varying levels of ANXIETY?,"[{""column_header"": ""WHEEZING"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""CHEST PAIN"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""ANXIETY"", ""is_strata"": true, ""is_control"": false}]","[{""method"": ""Mantel-Haenszel Test"", ""result"": ""{\""p value\"": 0.02382}"", ""conclusion"": ""Not independent""}]","{""columns"": [""WHEEZING"", ""CHEST PAIN"", ""ANXIETY""], ""methods"": [""Mantel-Haenszel Test""]}",Contingency Table Test,easy
FIFA Official Dataset 2023,How is the relationship between Wage and Age affected when the influence of Potential is controlled for?,"[{""column_header"": ""Wage"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Age"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Potential"", ""is_strata"": false, ""is_control"": true}]","[{""method"": ""Partial Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.35176, \""p value\"": 0.0}"", ""conclusion"": ""Not strongly correlated""}]","{""columns"": [""Wage"", ""Age"", ""Potential""], ""methods"": [""Partial Correlation Coefficient""]}",Correlation Analysis,easy
Customer Personality Analysis Dataset,How similar is the distribution of spending on fruits (MntFruits) to the distribution of revenue (Z_Revenue)?,"[{""column_header"": ""MntFruits"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Z_Revenue"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kolmogorov-Smirnov Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Distribution significantly different""}]","{""columns"": [""MntFruits"", ""Z_Revenue""], ""methods"": [""Kolmogorov-Smirnov Test""]}",Distribution Compliance Test,easy
Green House Gas Produce by Different Industry,What is the average level of greenhouse gas emissions for the year 2019?,"[{""column_header"": ""F2019"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mean"", ""result"": ""857.24901"", ""conclusion"": ""857.24901""}]","{""columns"": [""F2019""], ""methods"": [""Mean""]}",Descriptive Statistics,easy
Used Car Dataset,Can we determine if the distribution of car mileage (in kilometers per liter) is equivalent to the distribution of engine torque (in Newton-meters)?,"[{""column_header"": ""mileage(kmpl)"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""torque(Nm)"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kolmogorov-Smirnov Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Distribution significantly different""}]","{""columns"": [""mileage(kmpl)"", ""torque(Nm)""], ""methods"": [""Kolmogorov-Smirnov Test""]}",Distribution Compliance Test,easy
Crop Production Dataset,Do the annual crop production variances between Vietnam and India show a notable contrast?,"[{""column_header"": ""Vietnam"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""India"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 2.24203, \""p value\"": 0.18495}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Bartlett Test"", ""result"": ""{\""stat\"": 2.2302, \""p value\"": 0.13534}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""F-Test for Variance"", ""result"": ""{\""stat\"": 48.6804, \""p value\"": 0.00043}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""Vietnam"", ""India""], ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}",Variance Test,easy
Exercise and Fitness Metrics Dataset,Are the variations in measured weight comparable to those in Body Mass Index (BMI)?,"[{""column_header"": ""Actual Weight"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""BMI"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 4702.13622, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""Actual Weight"", ""BMI""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",Variance Test,hard
Obesity or CVD Risk Dataset,Do the observed frequencies of smoking status (SMOKE) and weight categories (NObeyesdad) conform to the independence assumption?,"[{""column_header"": ""SMOKE"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""NObeyesdad"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 2e-05}"", ""conclusion"": ""Not independent""}]","{""columns"": [""SMOKE"", ""NObeyesdad""], ""methods"": [""Chi-square Independence Test""]}",Contingency Table Test,hard
Students Math-Reading-Writing Performance Dataset,Does the student's score on the standardized mathematics test follow a normal distribution?,"[{""column_header"": ""math score"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Anderson-Darling Test"", ""result"": ""{\""AD results\"": \""{\\\""stat\\\"": 0.65721, \\\""crit\\\"": 0.574}\""}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Kolmogorov-Smirnov Test for Normality"", ""result"": ""{\""p value\"": 0.29427}"", ""conclusion"": ""Normally distributed""}, {""method"": ""Lilliefors Test"", ""result"": ""{\""p value\"": 0.03567}"", ""conclusion"": ""Non-normally distributed""}]","{""columns"": [""math score""], ""methods"": [""Anderson-Darling Test"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]}",Distribution Compliance Test,hard
Customer Personality Analysis Dataset,How is the relationship between the change in the number of children in the customer's household and the number of purchases made with a discount?,"[{""column_header"": ""Kidhome"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""NumDealsPurchases"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Pearson Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.2218}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Spearman Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.26058}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.23385}"", ""conclusion"": ""Not strongly correlated""}]","{""columns"": [""Kidhome"", ""NumDealsPurchases""], ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]}",Correlation Analysis,easy
Terrorist Attacks Dataset,"Is the distribution of the variable ""Terrorist Death Type: Suicide"" best described by a Gamma distribution model?","[{""column_header"": ""Terrorist Death Type : Suicide"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kolmogorov-Smirnov Test for Gamma distribution"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Non-compliance""}]","{""columns"": [""Terrorist Death Type : Suicide""], ""methods"": [""Kolmogorov-Smirnov Test for Gamma distribution""]}",Distribution Compliance Test,easy
Pokedex Dataset,Is the degree of variability in the sum of all base stats similar to that in base Attack?,"[{""column_header"": ""Total"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Attack"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 937.59748, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""Total"", ""Attack""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",Variance Test,hard
2023 Netflix Engagement Dataset,What is the kurtosis of the distribution of the number of ratings received by the title?,"[{""column_header"": ""Number of Ratings"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kurtosis"", ""result"": ""172.11299"", ""conclusion"": ""172.11299""}]","{""columns"": [""Number of Ratings""], ""methods"": [""Kurtosis""]}",Descriptive Statistics,easy
